"","Overall","NHW","B","HW","NWNB","p","test","Missing"
"n","1876","1476","168","93","139","","",""
"age_admission (median [IQR])","62.00 [54.00, 69.00]","62.00 [54.00, 70.00]","62.00 [54.75, 68.00]","60.00 [52.00, 66.00]","61.00 [52.00, 67.00]","0.059","nonnorm","0.0"
"sex = 2 (%)","715 (38.1)","565 (38.3)","61 (36.3)","27 (29.0)","62 (44.6)","0.112","","0.0"
"White = 1 (%)","1569 (83.6)","1476 (100.0)","0 (0.0)","93 (100.0)","0 (0.0)","<0.001","","0.0"
"race_cat_new (%)","","","","","","<0.001","","0.0"
"   White","1569 (83.6)","1476 (100.0)","0 (0.0)","93 (100.0)","0 (0.0)","","",""
"   Black or African American","168 (9.0)","0 (0.0)","168 (100.0)","0 (0.0)","0 (0.0)","","",""
"   Other","139 (7.4)","0 (0.0)","0 (0.0)","0 (0.0)","139 (100.0)","","",""
"reason_for_admission (%)","","","","","","<0.001","","0.1"
"   1","902 (48.1)","694 (47.1)","69 (41.1)","57 (61.3)","82 (59.0)","","",""
"   2","176 (9.4)","150 (10.2)","10 (6.0)","10 (10.8)","6 (4.3)","","",""
"   3","797 (42.5)","631 (42.8)","89 (53.0)","26 (28.0)","51 (36.7)","","",""
"loop_diuretic = 1 (%)","1201 (64.1)","953 (64.7)","98 (58.3)","59 (63.4)","91 (65.5)","0.431","","0.1"
"aldosterone_antagonist = 1 (%)","891 (47.6)","710 (48.2)","72 (42.9)","38 (40.9)","71 (51.1)","0.251","","0.2"
"lactulose = 1 (%)","852 (45.4)","662 (44.9)","71 (42.3)","50 (53.8)","69 (49.6)","0.214","","0.0"
"rifaximin = 1 (%)","558 (29.8)","450 (30.5)","39 (23.4)","30 (32.3)","39 (28.1)","0.246","","0.1"
"prophylactic_antibiotic = 1 (%)","208 (11.1)","164 (11.1)","15 (8.9)","15 (16.1)","14 (10.1)","0.342","","0.0"
"nsaids = 1 (%)","187 (10.0)","142 (9.6)","23 (13.8)","11 (11.8)","11 (7.9)","0.273","","0.1"
"beta_blockers = 1 (%)","754 (40.2)","601 (40.7)","73 (43.5)","33 (35.5)","47 (33.8)","0.248","","0.0"
"albumin_given_admission = 1 (%)","1269 (67.8)","1012 (68.7)","97 (57.7)","54 (58.1)","106 (76.3)","0.001","","0.2"
"albumin_amount_admission (median [IQR])","125.00 [75.00, 175.00]","113.40 [62.50, 175.00]","125.00 [75.00, 151.50]","100.00 [75.00, 175.00]","118.75 [75.00, 150.00]","0.926","nonnorm","42.3"
"albumin_given_prior = 1 (%)","102 (15.6)","79 (15.5)","5 (9.4)","4 (16.7)","14 (21.5)","0.349","","65.2"
"diabetes = 1 (%)","767 (40.9)","587 (39.8)","76 (45.2)","43 (46.2)","61 (43.9)","0.296","","0.0"
"cad = 1 (%)","365 (19.5)","295 (20.0)","34 (20.2)","16 (17.2)","20 (14.4)","0.406","","0.0"
"ckd = 1 (%)","561 (29.9)","448 (30.4)","61 (36.3)","20 (21.5)","32 (23.0)","0.021","","0.0"
"htn = 1 (%)","1083 (57.7)","845 (57.2)","118 (70.2)","54 (58.1)","66 (47.5)","0.001","","0.0"
"etiology_cirrhosis (%)","","","","","","<0.001","","0.0"
"   Alcohol","731 (39.0)","583 (39.5)","62 (36.9)","37 (39.8)","49 (35.3)","","",""
"   HCV","213 (11.4)","141 (9.6)","49 (29.2)","10 (10.8)","13 (9.4)","","",""
"   Multifactorial","177 (9.4)","133 (9.0)","21 (12.5)","9 (9.7)","14 (10.1)","","",""
