"","level","Overall","White","Black or African American","Other","p","test","Missing"
"n","","1876","1569","168","139","","",""
"age_admission (median [IQR])","","62.00 [54.00, 69.00]","62.00 [54.00, 69.00]","62.00 [54.75, 68.00]","61.00 [52.00, 67.00]","0.323","nonnorm","0.0"
"sex (%)","1","1161 (61.9)","977 (62.3)","107 (63.7)","77 (55.4)","0.245","","0.0"
"","2","715 (38.1)","592 (37.7)","61 (36.3)","62 (44.6)","","",""
"White (%)","0","307 (16.4)","0 (0.0)","168 (100.0)","139 (100.0)","<0.001","","0.0"
"","1","1569 (83.6)","1569 (100.0)","0 (0.0)","0 (0.0)","","",""
"race_cat_new (%)","White","1569 (83.6)","1569 (100.0)","0 (0.0)","0 (0.0)","<0.001","","0.0"
"","Black or African American","168 (9.0)","0 (0.0)","168 (100.0)","0 (0.0)","","",""
"","Other","139 (7.4)","0 (0.0)","0 (0.0)","139 (100.0)","","",""
"reason_for_admission (%)","1","902 (48.1)","751 (47.9)","69 (41.1)","82 (59.0)","0.001","","0.1"
"","2","176 (9.4)","160 (10.2)","10 (6.0)","6 (4.3)","","",""
"","3","797 (42.5)","657 (41.9)","89 (53.0)","51 (36.7)","","",""
"loop_diuretic (%)","0","673 (35.9)","555 (35.4)","70 (41.7)","48 (34.5)","0.259","","0.1"
"","1","1201 (64.1)","1012 (64.6)","98 (58.3)","91 (65.5)","","",""
"aldosterone_antagonist (%)","0","982 (52.4)","818 (52.2)","96 (57.1)","68 (48.9)","0.332","","0.2"
"","1","891 (47.6)","748 (47.8)","72 (42.9)","71 (51.1)","","",""
"lactulose (%)","0","1024 (54.6)","857 (54.6)","97 (57.7)","70 (50.4)","0.433","","0.0"
"","1","852 (45.4)","712 (45.4)","71 (42.3)","69 (49.6)","","",""
"rifaximin (%)","0","1316 (70.2)","1088 (69.4)","128 (76.6)","100 (71.9)","0.134","","0.1"
"","1","558 (29.8)","480 (30.6)","39 (23.4)","39 (28.1)","","",""
"prophylactic_antibiotic (%)","0","1668 (88.9)","1390 (88.6)","153 (91.1)","125 (89.9)","0.576","","0.0"
"","1","208 (11.1)","179 (11.4)","15 (8.9)","14 (10.1)","","",""
"nsaids (%)","0","1687 (90.0)","1415 (90.2)","144 (86.2)","128 (92.1)","0.181","","0.1"
"","1","187 (10.0)","153 (9.8)","23 (13.8)","11 (7.9)","","",""
"beta_blockers (%)","0","1122 (59.8)","935 (59.6)","95 (56.5)","92 (66.2)","0.209","","0.0"
