,Overall,Hispanic,Non-Hispanic,Unknown,p,test,Missing
n,2063,178,1811,74,,,
age_admission (median [IQR]),"62.00 [54.00, 69.00]","60.00 [53.00, 66.00]","62.00 [54.00, 69.00]","61.50 [56.00, 68.75]",0.087,nonnorm,0
sex = 2 (%),790 (38.3),56 (31.5),704 (38.9),30 (40.5),0.139,,0
White = 1 (%),1676 (81.2),94 (52.8),1542 (85.1),40 (54.1),<0.001,,0
reason_for_admission (%),,,,,0.02,,0
1,970 (47.0),103 (57.9),839 (46.4),28 (37.8),,,
2,193 (9.4),12 (6.7),174 (9.6),7 (9.5),,,
3,899 (43.6),63 (35.4),797 (44.0),39 (52.7),,,
loop_diuretic = 1 (%),1295 (62.8),118 (66.3),1137 (62.9),40 (54.1),0.187,,0.1
aldosterone_antagonist = 1 (%),951 (46.2),90 (50.6),838 (46.3),23 (31.1),0.017,,0.1
lactulose = 1 (%),919 (44.6),87 (48.9),802 (44.3),30 (40.5),0.392,,0
rifaximin = 1 (%),602 (29.2),49 (27.5),536 (29.6),17 (23.0),0.409,,0.1
prophylactic_antibiotic = 1 (%),227 (11.0),25 (14.0),194 (10.7),8 (10.8),0.398,,0
nsaids = 1 (%),203 (9.9),20 (11.2),173 (9.6),10 (13.5),0.435,,0.1
beta_blockers = 1 (%),831 (40.3),70 (39.3),730 (40.3),31 (41.9),0.929,,0
albumin_given_admission = 1 (%),1370 (66.5),108 (60.7),1219 (67.5),43 (58.1),0.055,,0.2
albumin_amount_admission (median [IQR]),"122.40 [75.00, 175.00]","100.00 [75.00, 157.50]","125.00 [64.38, 175.00]","100.00 [75.00, 181.25]",0.725,nonnorm,43.3
albumin_given_prior = 1 (%),114 (15.4),14 (22.2),94 (14.8),6 (13.6),0.284,,64.1
diabetes = 1 (%),844 (41.0),85 (48.0),733 (40.5),26 (35.1),0.089,,0.1
cad = 1 (%),409 (19.8),28 (15.7),366 (20.2),15 (20.3),0.356,,0
ckd = 1 (%),623 (30.3),45 (25.4),559 (31.0),19 (25.7),0.212,,0.3
htn = 1 (%),1190 (57.7),104 (58.4),1052 (58.1),34 (45.9),0.113,,0
etiology_cirrhosis (%),,,,,0.166,,0
   Alcohol,803 (38.9),65 (36.5),706 (39.0),32 (43.2),,,
   HCV,233 (11.3),26 (14.6),200 (11.0),7 (9.5),,,
   Multifactorial,191 (9.3),21 (11.8),164 (9.1),6 (8.1),,,
   NASH,444 (21.5),26 (14.6),406 (22.4),12 (16.2),,,
   Other,392 (19.0),40 (22.5),335 (18.5),17 (23.0),,,
ascites_admission = 1 (%),1607 (77.9),137 (77.0),1411 (77.9),59 (80.8),0.798,,0
encephalopathy_admission = 1 (%),1212 (58.8),110 (61.8),1056 (58.4),46 (62.2),0.565,,0.1
gi_bleed_admission = 1 (%),712 (34.5),62 (34.8),625 (34.5),25 (33.8),0.987,,0.1
peritonitis_admission = 1 (%),289 (14.0),29 (16.3),251 (13.9),9 (12.2),0.607,,0.2
hcc_admission = 1 (%),236 (11.4),25 (14.0),205 (11.3),6 (8.1),0.363,,0
