,Overall,Hispanic,Non-Hispanic,p,test,Missing
n,1989,178,1811,,,
age_admission (median [IQR]),"62.00 [54.00, 69.00]","60.00 [53.00, 66.00]","62.00 [54.00, 69.00]",0.028,nonnorm,0
sex = 2 (%),760 (38.2),56 (31.5),704 (38.9),0.062,,0.1
White = 1 (%),1636 (82.3),94 (52.8),1542 (85.1),<0.001,,0
reason_for_admission (%),,,,0.013,,0.1
1,942 (47.4),103 (57.9),839 (46.4),,,
2,186 (9.4),12 (6.7),174 (9.6),,,
3,860 (43.3),63 (35.4),797 (44.0),,,
loop_diuretic = 1 (%),1255 (63.2),118 (66.3),1137 (62.9),0.409,,0.1
aldosterone_antagonist = 1 (%),928 (46.7),90 (50.6),838 (46.3),0.319,,0.2
lactulose = 1 (%),889 (44.7),87 (48.9),802 (44.3),0.276,,0.1
rifaximin = 1 (%),585 (29.4),49 (27.5),536 (29.6),0.617,,0.1
prophylactic_antibiotic = 1 (%),219 (11.0),25 (14.0),194 (10.7),0.219,,0
nsaids = 1 (%),193 (9.7),20 (11.2),173 (9.6),0.559,,0.2
beta_blockers = 1 (%),800 (40.2),70 (39.3),730 (40.3),0.861,,0
albumin_given_admission = 1 (%),1327 (66.9),108 (60.7),1219 (67.5),0.08,,0.2
albumin_amount_admission (median [IQR]),"125.00 [75.00, 175.00]","100.00 [75.00, 157.50]","125.00 [64.38, 175.00]",0.421,nonnorm,43.2
albumin_given_prior = 1 (%),108 (15.5),14 (22.2),94 (14.8),0.172,,65
diabetes = 1 (%),818 (41.2),85 (48.0),733 (40.5),0.064,,0.2
cad = 1 (%),394 (19.8),28 (15.7),366 (20.2),0.182,,0.1
ckd = 1 (%),604 (30.5),45 (25.4),559 (31.0),0.15,,0.3
htn = 1 (%),1156 (58.1),104 (58.4),1052 (58.1),1,,0.1
etiology_cirrhosis (%),,,,0.054,,0
   Alcohol,771 (38.8),65 (36.5),706 (39.0),,,
   HCV,226 (11.4),26 (14.6),200 (11.0),,,
   Multifactorial,185 (9.3),21 (11.8),164 (9.1),,,
   NASH,432 (21.7),26 (14.6),406 (22.4),,,
   Other,375 (18.9),40 (22.5),335 (18.5),,,
ascites_admission = 1 (%),1548 (77.8),137 (77.0),1411 (77.9),0.845,,0
encephalopathy_admission = 1 (%),1166 (58.7),110 (61.8),1056 (58.4),0.421,,0.1
gi_bleed_admission = 1 (%),687 (34.6),62 (34.8),625 (34.5),1,,0.1
peritonitis_admission = 1 (%),280 (14.1),29 (16.3),251 (13.9),0.444,,0.2
hcc_admission = 1 (%),230 (11.6),25 (14.0),205 (11.3),0.337,,0.1
tips_admission = 1 (%),161 (8.1),8 (4.5),153 (8.5),0.088,,0.2
lvp_admission = 1 (%),642 (32.3),59 (33.3),583 (32.2),0.833,,0.2
alcoholic_hepatitis_admission = 1 (%),286 (14.4),25 (14.0),261 (14.4),0.981,,0.1
na_admit (median [IQR]),"134.00 [130.00, 138.00]","134.00 [129.25, 138.00]","134.00 [130.00, 138.00]",0.66,nonnorm,0
k_admit (median [IQR]),"4.40 [3.80, 5.00]","4.40 [3.80, 5.00]","4.40 [3.80, 5.00]",0.997,nonnorm,0.4
cl_admit (median [IQR]),"100.00 [95.00, 105.00]","101.00 [95.00, 106.00]","100.00 [95.00, 105.00]",0.128,nonnorm,0
co2_admit (median [IQR]),"21.00 [18.00, 24.00]","21.00 [17.25, 24.00]","21.00 [18.00, 24.00]",0.319,nonnorm,0.1
bun_admit (median [IQR]),"38.00 [24.00, 56.00]","37.00 [23.00, 56.75]","38.00 [25.00, 55.50]",0.92,nonnorm,0
creatinine_admission (median [IQR]),"1.94 [1.50, 2.80]","2.06 [1.44, 2.90]","1.94 [1.50, 2.80]",0.902,nonnorm,0
