,Overall,Black or African American,Other,White,p,test,Missing
n,2063,176,211,1676,,,
age_admission (median [IQR]),"62.00 [54.00, 69.00]","62.00 [55.00, 68.00]","59.00 [50.00, 66.50]","62.00 [54.00, 69.00]",0.01,nonnorm,0
sex = 2 (%),790 (38.3),65 (36.9),86 (40.8),639 (38.1),0.706,,0
White = 1 (%),1676 (81.2),0 (0.0),0 (0.0),1676 (100.0),<0.001,,0
hispanic_race = 1 (%),178 (8.6),5 (2.8),79 (37.4),94 (5.6),<0.001,,0
reason_for_admission (%),,,,,0.015,,0
1,970 (47.0),72 (40.9),115 (54.5),783 (46.7),,,
2,193 (9.4),11 (6.2),15 (7.1),167 (10.0),,,
3,899 (43.6),93 (52.8),81 (38.4),725 (43.3),,,
loop_diuretic = 1 (%),1295 (62.8),101 (57.4),124 (58.8),1070 (63.9),0.102,,0.1
aldosterone_antagonist = 1 (%),951 (46.2),74 (42.0),96 (45.5),781 (46.7),0.492,,0.1
lactulose = 1 (%),919 (44.6),74 (42.0),92 (43.6),753 (45.0),0.728,,0
rifaximin = 1 (%),602 (29.2),40 (22.9),55 (26.1),507 (30.3),0.07,,0.1
prophylactic_antibiotic = 1 (%),227 (11.0),15 (8.5),22 (10.4),190 (11.3),0.505,,0
nsaids = 1 (%),203 (9.9),25 (14.3),13 (6.2),165 (9.9),0.029,,0.1
beta_blockers = 1 (%),831 (40.3),76 (43.2),74 (35.1),681 (40.6),0.214,,0
albumin_given_admission = 1 (%),1370 (66.5),102 (58.0),156 (73.9),1112 (66.5),0.004,,0.2
albumin_amount_admission (median [IQR]),"122.40 [75.00, 175.00]","125.00 [75.00, 151.50]","110.00 [75.00, 150.00]","122.25 [62.50, 175.00]",0.918,nonnorm,43.3
albumin_given_prior = 1 (%),114 (15.4),5 (9.1),23 (23.2),86 (14.7),0.037,,64.1
diabetes = 1 (%),844 (41.0),79 (45.1),82 (39.0),683 (40.8),0.448,,0.1
cad = 1 (%),409 (19.8),35 (19.9),34 (16.1),340 (20.3),0.356,,0
ckd = 1 (%),623 (30.3),62 (35.2),46 (21.9),515 (30.8),0.01,,0.3
htn = 1 (%),1190 (57.7),123 (69.9),97 (46.0),970 (57.9),<0.001,,0
etiology_cirrhosis (%),,,,,<0.001,,0
   Alcohol,803 (38.9),65 (36.9),80 (37.9),658 (39.3),,,
   HCV,233 (11.3),51 (29.0),21 (10.0),161 (9.6),,,
   Multifactorial,191 (9.3),21 (11.9),22 (10.4),148 (8.8),,,
   NASH,444 (21.5),10 (5.7),28 (13.3),406 (24.2),,,
   Other,392 (19.0),29 (16.5),60 (28.4),303 (18.1),,,
ascites_admission = 1 (%),1607 (77.9),122 (69.3),183 (87.1),1302 (77.7),<0.001,,0
encephalopathy_admission = 1 (%),1212 (58.8),105 (59.7),141 (66.8),966 (57.7),0.039,,0.1
gi_bleed_admission = 1 (%),712 (34.5),72 (40.9),78 (37.0),562 (33.6),0.111,,0.1
peritonitis_admission = 1 (%),289 (14.0),21 (11.9),35 (16.6),233 (13.9),0.407,,0.2
hcc_admission = 1 (%),236 (11.4),26 (14.8),30 (14.2),180 (10.7),0.115,,0
tips_admission = 1 (%),163 (7.9),6 (3.4),12 (5.7),145 (8.7),0.022,,0.1
lvp_admission = 1 (%),667 (32.4),54 (30.7),69 (32.7),544 (32.5),0.878,,0.2
alcoholic_hepatitis_admission = 1 (%),303 (14.7),24 (13.6),38 (18.0),241 (14.4),0.344,,0
na_admit (median [IQR]),"134.00 [130.00, 138.00]","135.00 [132.00, 139.00]","134.00 [130.00, 138.00]","134.00 [130.00, 138.00]",0.033,nonnorm,0
k_admit (median [IQR]),"4.40 [3.80, 5.00]","4.30 [3.70, 5.10]","4.35 [3.80, 5.00]","4.40 [3.80, 5.00]",0.478,nonnorm,0.4
cl_admit (median [IQR]),"100.00 [95.00, 105.00]","101.00 [96.00, 106.00]","100.00 [96.00, 105.00]","100.00 [94.00, 105.00]",0.01,nonnorm,0
co2_admit (median [IQR]),"21.00 [18.00, 24.00]","20.00 [18.00, 23.00]","20.00 [17.00, 24.00]","21.00 [18.00, 24.00]",0.062,nonnorm,0
bun_admit (median [IQR]),"38.00 [24.00, 56.00]","36.00 [20.00, 53.25]","36.00 [23.00, 54.00]","39.00 [25.00, 56.00]",0.047,nonnorm,0
creatinine_admission (median [IQR]),"1.94 [1.50, 2.80]","2.00 [1.62, 2.92]","1.93 [1.44, 2.83]","1.94 [1.50, 2.79]",0.252,nonnorm,0
urine_creatinine (median [IQR]),"108.00 [69.00, 156.00]","130.40 [77.70, 186.00]","103.00 [75.00, 146.00]","107.00 [67.00, 154.80]",0.015,nonnorm,37.3
ca_admit (median [IQR]),"8.70 [8.20, 9.20]","8.80 [8.10, 9.30]","8.60 [8.10, 9.00]","8.70 [8.20, 9.10]",0.087,nonnorm,0.3
mg_admit (median [IQR]),"2.00 [1.70, 2.30]","1.90 [1.70, 2.20]","2.00 [1.70, 2.30]","2.00 [1.70, 2.30]",0.388,nonnorm,24.3
phos_admit (median [IQR]),"3.90 [3.10, 4.80]","3.80 [2.90, 4.80]","3.80 [3.00, 4.80]","3.90 [3.20, 4.80]",0.33,nonnorm,32.4
peak_creatinine (median [IQR]),"2.55 [1.93, 3.66]","2.85 [2.10, 4.02]","2.51 [1.93, 3.78]","2.52 [1.92, 3.57]",0.033,nonnorm,0.5
alt_admit (median [IQR]),"31.00 [20.00, 54.00]","31.00 [20.00, 60.25]","33.00 [22.00, 69.00]","31.00 [19.50, 53.00]",0.036,nonnorm,1
alkphos_admit (median [IQR]),"133.00 [94.00, 196.75]","132.50 [92.75, 201.00]","134.00 [99.00, 208.00]","133.00 [94.00, 194.00]",0.822,nonnorm,1
tb_admit (median [IQR]),"2.60 [1.10, 7.00]","2.25 [1.10, 6.10]","3.45 [1.70, 10.12]","2.50 [1.10, 6.70]",0.001,nonnorm,1.5
alb_admit (median [IQR]),"2.90 [2.50, 3.40]","2.80 [2.30, 3.40]","2.80 [2.40, 3.50]","2.90 [2.50, 3.40]",0.339,nonnorm,1.1
nh3_admit (median [IQR]),"59.00 [37.00, 95.00]","58.00 [41.00, 107.00]","62.00 [35.00, 106.00]","59.00 [37.00, 93.75]",0.419,nonnorm,50.2
