"","level","Overall","American Indian or Alaska Native","Asian","Black or African American","Native Hawaiian or Other Pacific Islander","Other","White","p","test","Missing"
"n","","1999","12","34","176","3","100","1674","","",""
"age_admission (median [IQR])","","62.00 [54.00, 69.00]","60.00 [39.75, 65.25]","59.50 [51.25, 66.50]","62.00 [55.00, 68.00]","50.00 [49.00, 65.00]","61.00 [54.00, 67.00]","62.00 [54.00, 69.00]","0.558","nonnorm","0.0"
"sex (%)","1","1232 (61.7)","5 (41.7)","22 (64.7)","111 (63.1)","0 (0.0)","59 (59.0)","1035 (61.9)","0.188","","0.1"
"","2","766 (38.3)","7 (58.3)","12 (35.3)","65 (36.9)","3 (100.0)","41 (41.0)","638 (38.1)","","",""
"White (%)","0","325 (16.3)","12 (100.0)","34 (100.0)","176 (100.0)","3 (100.0)","100 (100.0)","0 (0.0)","<0.001","","0.0"
"","1","1674 (83.7)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","1674 (100.0)","","",""
"hispanic_race (%)","0","1826 (91.3)","10 (83.3)","33 (97.1)","171 (97.2)","2 (66.7)","30 (30.0)","1580 (94.4)","<0.001","","0.0"
"","1","173 (8.7)","2 (16.7)","1 (2.9)","5 (2.8)","1 (33.3)","70 (70.0)","94 (5.6)","","",""
"reason_for_admission (%)","1","939 (47.0)","9 (75.0)","16 (47.1)","72 (40.9)","1 (33.3)","58 (58.0)","783 (46.8)","0.021","","0.1"
"","2","185 (9.3)","0 (0.0)","4 (11.8)","11 (6.2)","1 (33.3)","3 (3.0)","166 (9.9)","","",""
"","3","874 (43.7)","3 (25.0)","14 (41.2)","93 (52.8)","1 (33.3)","39 (39.0)","724 (43.3)","","",""
"loop_diuretic (%)","0","732 (36.7)","7 (58.3)","12 (35.3)","75 (42.6)","1 (33.3)","34 (34.0)","603 (36.1)","0.335","","0.1"
"","1","1265 (63.3)","5 (41.7)","22 (64.7)","101 (57.4)","2 (66.7)","66 (66.0)","1069 (63.9)","","",""
"aldosterone_antagonist (%)","0","1068 (53.5)","7 (58.3)","22 (64.7)","102 (58.0)","2 (66.7)","44 (44.0)","891 (53.3)","0.214","","0.2"
"","1","928 (46.5)","5 (41.7)","12 (35.3)","74 (42.0)","1 (33.3)","56 (56.0)","780 (46.7)","","",""
"lactulose (%)","0","1099 (55.0)","4 (33.3)","21 (61.8)","102 (58.0)","1 (33.3)","50 (50.0)","921 (55.1)","0.403","","0.1"
"","1","899 (45.0)","8 (66.7)","13 (38.2)","74 (42.0)","2 (66.7)","50 (50.0)","752 (44.9)","","",""
"rifaximin (%)","0","1410 (70.6)","8 (66.7)","27 (79.4)","135 (77.1)","1 (33.3)","72 (72.0)","1167 (69.8)","0.177","","0.1"
"","1","587 (29.4)","4 (33.3)","7 (20.6)","40 (22.9)","2 (66.7)","28 (28.0)","506 (30.2)","","",""
"prophylactic_antibiotic (%)","0","1780 (89.0)","10 (83.3)","30 (88.2)","161 (91.5)","3 (100.0)","92 (92.0)","1484 (88.6)","0.696","","0.0"
"","1","219 (11.0)","2 (16.7)","4 (11.8)","15 (8.5)","0 (0.0)","8 (8.0)","190 (11.4)","","",""
"nsaids (%)","0","1795 (89.9)","12 (100.0)","32 (94.1)","150 (85.7)","2 (66.7)","92 (92.0)","1507 (90.1)","0.169","","0.2"
"","1","201 (10.1)","0 (0.0)","2 (5.9)","25 (14.3)","1 (33.3)","8 (8.0)","165 (9.9)","","",""
"beta_blockers (%)","0","1191 (59.6)","10 (83.3)","22 (64.7)","100 (56.8)","2 (66.7)","63 (63.0)","994 (59.4)","0.505","","0.0"
"","1","808 (40.4)","2 (16.7)","12 (35.3)","76 (43.2)","1 (33.3)","37 (37.0)","680 (40.6)","","",""
