"","Overall","NHW","B","HW","NWNB","p","test","Missing"
"n","1876","1476","168","93","139","","",""
"fena (median [IQR])","0.35 [0.16, 1.00]","0.35 [0.16, 0.98]","0.37 [0.16, 1.25]","0.34 [0.13, 1.27]","0.37 [0.20, 0.84]","0.922","nonnorm","43.9"
"he_grade_admission (%)","","","","","","0.429","","2.6"
"   1","1074 (58.8)","856 (59.7)","83 (50.9)","56 (61.5)","79 (56.8)","","",""
"   2","290 (15.9)","223 (15.5)","30 (18.4)","17 (18.7)","20 (14.4)","","",""
"   3","228 (12.5)","178 (12.4)","21 (12.9)","11 (12.1)","18 (12.9)","","",""
"   4","179 (9.8)","138 (9.6)","22 (13.5)","5 (5.5)","14 (10.1)","","",""
"   5","57 (3.1)","40 (2.8)","7 (4.3)","2 (2.2)","8 (5.8)","","",""
"sbp_admission (median [IQR])","99.00 [88.00, 111.00]","98.00 [87.00, 111.00]","102.00 [90.00, 118.00]","100.00 [88.00, 116.00]","97.00 [86.50, 108.50]","0.022","nonnorm","0.0"
"dbp_admission (median [IQR])","53.00 [46.00, 61.00]","53.00 [46.00, 60.00]","58.00 [50.75, 67.25]","54.00 [44.00, 64.00]","52.00 [47.00, 59.00]","<0.001","nonnorm","0.0"
"rrt = 1 (%)","331 (17.7)","236 (16.0)","31 (18.5)","19 (20.4)","45 (32.4)","<0.001","","0.2"
"rrt_hemodialysis = 1 (%)","152 (32.9)","109 (30.8)","10 (23.3)","11 (55.0)","22 (48.9)","0.007","","75.4"
"initial_rrt = 2 (%)","232 (70.5)","159 (67.4)","23 (76.7)","13 (68.4)","37 (84.1)","0.132","","82.5"
"icu_admission = 1 (%)","855 (45.6)","673 (45.7)","69 (41.1)","42 (45.2)","71 (51.1)","0.380","","0.1"
"hrs_vasoconstrictor = 1 (%)","721 (38.5)","569 (38.6)","51 (30.4)","40 (43.0)","61 (43.9)","0.065","","0.1"
"pressor = 1 (%)","547 (29.2)","428 (29.0)","48 (28.6)","23 (24.7)","48 (34.5)","0.413","","0.1"
"intubated = 1 (%)","487 (26.0)","391 (26.5)","41 (24.4)","20 (21.5)","35 (25.4)","0.699","","0.1"
"respiratory_failure (%)","","","","","","0.038","","0.7"
"   1","396 (21.3)","312 (21.3)","35 (20.8)","18 (19.4)","31 (22.3)","","",""
"   2","69 (3.7)","57 (3.9)","8 (4.8)","0 (0.0)","4 (2.9)","","",""
"   3","264 (14.2)","218 (14.9)","21 (12.5)","8 (8.6)","17 (12.2)","","",""
"   4","300 (16.1)","221 (15.1)","41 (24.4)","20 (21.5)","18 (12.9)","","",""
"   5","833 (44.7)","654 (44.7)","63 (37.5)","47 (50.5)","69 (49.6)","","",""
"liver_transplant_listed = 1 (%)","306 (16.3)","239 (16.2)","14 (8.3)","19 (20.4)","34 (24.5)","0.001","","0.1"
"liver_transplant = 1 (%)","160 (28.0)","119 (27.6)","7 (14.3)","13 (46.4)","21 (32.8)","0.018","","69.5"
"kidney_transplant = 1 (%)","27 (1.4)","16 (1.1)","4 (2.4)","2 (2.2)","5 (3.6)","0.064","","0.1"
"palliative_care = 1 (%)","406 (21.7)","335 (22.7)","40 (24.0)","10 (10.8)","21 (15.1)","0.009","","0.1"
"discharge_disposition (%)","","","","","","0.021","","0.3"
"   1","342 (18.3)","263 (17.9)","38 (22.8)","10 (10.8)","31 (22.3)","","",""
"   2","979 (52.4)","757 (51.5)","83 (49.7)","59 (63.4)","80 (57.6)","","",""
"   3","316 (16.9)","258 (17.5)","22 (13.2)","18 (19.4)","18 (12.9)","","",""
"   4","233 (12.5)","193 (13.1)","24 (14.4)","6 (6.5)","10 (7.2)","","",""
"code_status (%)","","","","","","0.016","","0.3"
"   1","1208 (64.6)","934 (63.5)","106 (63.1)","76 (81.7)","92 (66.2)","","",""
"   2","379 (20.3)","305 (20.7)","34 (20.2)","8 (8.6)","32 (23.0)","","",""
"   3","283 (15.1)","231 (15.7)","28 (16.7)","9 (9.7)","15 (10.8)","","",""
"Akin (%)","","","","","","0.272","","0.6"
"   1","637 (34.2)","515 (35.1)","53 (31.5)","31 (33.3)","38 (27.5)","","",""
"   2","437 (23.4)","348 (23.7)","36 (21.4)","24 (25.8)","29 (21.0)","","",""
"   3","791 (42.4)","603 (41.1)","79 (47.0)","38 (40.9)","71 (51.4)","","",""
"final_type_of_aki (%)","","","","","","0.193","","0.0"
"   1","834 (44.5)","655 (44.4)","73 (43.5)","50 (53.8)","56 (40.3)","","",""
"   2","227 (12.1)","183 (12.4)","15 (8.9)","12 (12.9)","17 (12.2)","","",""
"   3","565 (30.1)","451 (30.6)","56 (33.3)","18 (19.4)","40 (28.8)","","",""
"   4","109 (5.8)","85 (5.8)","12 (7.1)","4 (4.3)","8 (5.8)","","",""
"   5","141 (7.5)","102 (6.9)","12 (7.1)","9 (9.7)","18 (12.9)","","",""
"MELD_baseline (median [IQR])","22.00 [16.00, 29.00]","22.00 [16.00, 29.00]","22.00 [17.00, 28.00]","21.00 [15.00, 29.00]","22.00 [17.00, 30.00]","0.688","nonnorm","0.0"
"MELD_Na_baseline (median [IQR])","25.00 [19.00, 31.00]","25.00 [19.00, 31.00]","25.00 [20.00, 30.00]","25.00 [17.00, 31.00]","26.00 [20.00, 32.00]","0.717","nonnorm","0.0"
"site (%)","","","","","","<0.001","","0.0"
"   baylor","214 (11.4)","137 (9.3)","28 (16.7)","35 (37.6)","14 (10.1)","","",""
"   indiana","211 (11.2)","192 (13.0)","10 (6.0)","6 (6.5)","3 (2.2)","","",""
"   jacksonville","103 (5.5)","85 (5.8)","7 (4.2)","8 (8.6)","3 (2.2)","","",""
"   kentukey","154 (8.2)","140 (9.5)","13 (7.7)","1 (1.1)","0 (0.0)","","",""
"   MCW","123 (6.6)","80 (5.4)","24 (14.3)","2 (2.2)","17 (12.2)","","",""
"   mgh","338 (18.0)","274 (18.6)","27 (16.1)","9 (9.7)","28 (20.1)","","",""
"   michigan","140 (7.5)","123 (8.3)","11 (6.5)","4 (4.3)","2 (1.4)","","",""
