"","Overall","HB","HW","NHB","NHW","NWNB","p","test","Missing"
"n","1894","5","93","164","1491","141","","",""
"fena (median [IQR])","0.35 [0.16, 1.00]","1.25 [0.37, 2.12]","0.34 [0.13, 1.27]","0.35 [0.16, 1.20]","0.35 [0.16, 0.98]","0.37 [0.20, 0.88]","0.865","nonnorm","43.8"
"he_grade_admission (%)","","","","","","","0.305","","2.6"
"   1","1087 (58.9)","5 (100.0)","56 (61.5)","78 (49.1)","868 (59.9)","80 (56.7)","","",""
"   2","291 (15.8)","0 (0.0)","17 (18.7)","30 (18.9)","223 (15.4)","21 (14.9)","","",""
"   3","229 (12.4)","0 (0.0)","11 (12.1)","21 (13.2)","179 (12.4)","18 (12.8)","","",""
"   4","181 (9.8)","0 (0.0)","5 (5.5)","23 (14.5)","139 (9.6)","14 (9.9)","","",""
"   5","57 (3.1)","0 (0.0)","2 (2.2)","7 (4.4)","40 (2.8)","8 (5.7)","","",""
"sbp_admission (median [IQR])","99.00 [88.00, 111.00]","94.00 [93.00, 109.00]","100.00 [88.00, 116.00]","102.00 [90.00, 118.00]","98.00 [87.00, 111.00]","97.00 [86.00, 109.00]","0.045","nonnorm","0.0"
"dbp_admission (median [IQR])","53.00 [46.00, 61.00]","50.00 [48.00, 59.00]","54.00 [44.00, 64.00]","58.00 [51.00, 67.25]","53.00 [46.00, 60.00]","52.00 [47.00, 59.00]","<0.001","nonnorm","0.0"
"rrt = 1 (%)","334 (17.7)","1 (20.0)","19 (20.4)","30 (18.3)","239 (16.1)","45 (31.9)","<0.001","","0.2"
"rrt_hemodialysis = 1 (%)","155 (33.3)","1 (100.0)","11 (55.0)","9 (21.4)","112 (31.4)","22 (48.9)","0.006","","75.4"
"initial_rrt = 2 (%)","233 (70.2)","0 (0.0)","13 (68.4)","23 (79.3)","160 (66.9)","37 (84.1)","0.066","","82.5"
"icu_admission = 1 (%)","860 (45.5)","1 (20.0)","42 (45.2)","69 (42.1)","677 (45.5)","71 (50.4)","0.488","","0.1"
"hrs_vasoconstrictor = 1 (%)","727 (38.4)","1 (20.0)","40 (43.0)","50 (30.5)","575 (38.6)","61 (43.3)","0.120","","0.1"
"pressor = 1 (%)","549 (29.0)","1 (20.0)","23 (24.7)","47 (28.7)","430 (28.9)","48 (34.0)","0.595","","0.1"
"intubated = 1 (%)","491 (26.0)","1 (20.0)","20 (21.5)","41 (25.0)","394 (26.4)","35 (25.0)","0.848","","0.1"
"respiratory_failure (%)","","","","","","","0.029","","0.7"
"   1","399 (21.2)","0 (0.0)","18 (19.4)","35 (21.3)","315 (21.3)","31 (22.0)","","",""
"   2","72 (3.8)","0 (0.0)","0 (0.0)","9 (5.5)","59 (4.0)","4 (2.8)","","",""
"   3","264 (14.0)","1 (20.0)","8 (8.6)","20 (12.2)","218 (14.8)","17 (12.1)","","",""
"   4","303 (16.1)","0 (0.0)","20 (21.5)","41 (25.0)","224 (15.2)","18 (12.8)","","",""
"   5","842 (44.8)","4 (80.0)","47 (50.5)","59 (36.0)","661 (44.8)","71 (50.4)","","",""
"liver_transplant_listed = 1 (%)","308 (16.3)","0 (0.0)","19 (20.4)","14 (8.5)","241 (16.2)","34 (24.1)","0.003","","0.1"
"liver_transplant = 1 (%)","162 (28.2)","0 (NaN)","13 (46.4)","7 (14.3)","121 (27.9)","21 (32.8)","NaN","","69.7"
"kidney_transplant = 1 (%)","27 (1.4)","0 (0.0)","2 (2.2)","4 (2.4)","16 (1.1)","5 (3.5)","0.114","","0.1"
"palliative_care = 1 (%)","411 (21.7)","0 (0.0)","10 (10.8)","40 (24.5)","340 (22.8)","21 (14.9)","0.009","","0.1"
"discharge_disposition (%)","","","","","","","0.038","","0.3"
"   1","343 (18.2)","1 (20.0)","10 (10.8)","37 (22.7)","264 (17.8)","31 (22.0)","","",""
"   2","993 (52.6)","4 (80.0)","59 (63.4)","80 (49.1)","768 (51.7)","82 (58.2)","","",""
"   3","317 (16.8)","0 (0.0)","18 (19.4)","22 (13.5)","259 (17.4)","18 (12.8)","","",""
"   4","235 (12.4)","0 (0.0)","6 (6.5)","24 (14.7)","195 (13.1)","10 (7.1)","","",""
"code_status (%)","","","","","","","0.041","","0.4"
"   1","1221 (64.7)","4 (80.0)","76 (81.7)","103 (62.8)","945 (63.7)","93 (66.0)","","",""
"   2","381 (20.2)","1 (20.0)","8 (8.6)","33 (20.1)","307 (20.7)","32 (22.7)","","",""
"   3","285 (15.1)","0 (0.0)","9 (9.7)","28 (17.1)","232 (15.6)","16 (11.3)","","",""
"Akin (%)","","","","","","","0.376","","0.6"
"   1","643 (34.2)","2 (40.0)","31 (33.3)","51 (31.1)","521 (35.2)","38 (27.3)","","",""
"   2","442 (23.5)","0 (0.0)","24 (25.8)","37 (22.6)","351 (23.7)","30 (21.6)","","",""
"   3","797 (42.3)","3 (60.0)","38 (40.9)","76 (46.3)","609 (41.1)","71 (51.1)","","",""
"final_type_of_aki (%)","","","","","","","0.340","","0.0"
"   1","845 (44.6)","3 (60.0)","50 (53.8)","71 (43.3)","664 (44.5)","57 (40.4)","","",""
"   2","231 (12.2)","1 (20.0)","12 (12.9)","14 (8.5)","187 (12.5)","17 (12.1)","","",""
"   3","567 (29.9)","1 (20.0)","18 (19.4)","55 (33.5)","452 (30.3)","41 (29.1)","","",""
"   4","110 (5.8)","0 (0.0)","4 (4.3)","12 (7.3)","86 (5.8)","8 (5.7)","","",""
"   5","141 (7.4)","0 (0.0)","9 (9.7)","12 (7.3)","102 (6.8)","18 (12.8)","","",""
"MELD_baseline (median [IQR])","22.00 [16.00, 29.00]","20.00 [15.00, 21.00]","21.00 [15.00, 29.00]","22.00 [17.00, 28.25]","22.00 [16.00, 29.00]","22.00 [17.00, 30.00]","0.590","nonnorm","0.0"
"MELD_Na_baseline (median [IQR])","25.00 [19.00, 31.00]","26.00 [24.00, 27.00]","25.00 [17.00, 31.00]","25.00 [20.00, 30.25]","25.00 [19.00, 31.00]","26.00 [20.00, 32.00]","0.821","nonnorm","0.0"
"site (%)","","","","","","","<0.001","","0.0"
"   baylor","214 (11.3)","1 (20.0)","35 (37.6)","27 (16.5)","137 (9.2)","14 (9.9)","","",""
"   indiana","213 (11.2)","0 (0.0)","6 (6.5)","10 (6.1)","194 (13.0)","3 (2.1)","","",""
"   jacksonville","105 (5.5)","0 (0.0)","8 (8.6)","7 (4.3)","87 (5.8)","3 (2.1)","","",""
"   kentukey","154 (8.1)","0 (0.0)","1 (1.1)","13 (7.9)","140 (9.4)","0 (0.0)","","",""
"   MCW","123 (6.5)","0 (0.0)","2 (2.2)","24 (14.6)","80 (5.4)","17 (12.1)","","",""
"   mgh","339 (17.9)","3 (60.0)","9 (9.7)","24 (14.6)","275 (18.4)","28 (19.9)","","",""
"   michigan","151 (8.0)","0 (0.0)","4 (4.3)","12 (7.3)","132 (8.9)","3 (2.1)","","",""
"   oschner","108 (5.7)","0 (0.0)","3 (3.2)","21 (12.8)","79 (5.3)","5 (3.5)","","",""
"   rochester","246 (13.0)","0 (0.0)","6 (6.5)","2 (1.2)","219 (14.7)","19 (13.5)","","",""
"   usc","65 (3.4)","0 (0.0)","10 (10.8)","2 (1.2)","18 (1.2)","35 (24.8)","","",""
"   yale","176 (9.3)","1 (20.0)","9 (9.7)","22 (13.4)","130 (8.7)","14 (9.9)","","",""
"AKI_responders (%)","","","","","","","0.128","","0.6"
"   complete response","794 (42.2)","3 (60.0)","36 (38.7)","62 (37.8)","648 (43.8)","45 (32.4)","","",""
