"","level","Overall","White","Black or African American","Other","p","test","Missing"
"n","","1949","1634","172","143","","",""
"intubated (%)","0","1445 (74.2)","1208 (74.0)","130 (75.6)","107 (75.4)","0.855","","0.1"
"","1","502 (25.8)","425 (26.0)","42 (24.4)","35 (24.6)","","",""
"respiratory_failure (%)","1","408 (21.1)","342 (21.1)","35 (20.3)","31 (21.7)","0.076","","0.8"
"","2","74 (3.8)","61 (3.8)","9 (5.2)","4 (2.8)","","",""
"","3","276 (14.3)","237 (14.6)","22 (12.8)","17 (11.9)","","",""
"","4","310 (16.0)","249 (15.4)","42 (24.4)","19 (13.3)","","",""
"","5","866 (44.8)","730 (45.1)","64 (37.2)","72 (50.3)","","",""
"liver_transplant_listed (%)","0","1639 (84.2)","1372 (84.1)","158 (91.9)","109 (76.2)","0.001","","0.1"
"","1","308 (15.8)","260 (15.9)","14 (8.1)","34 (23.8)","","",""
"liver_transplant (%)","0","429 (72.6)","344 (72.0)","42 (85.7)","43 (67.2)","0.072","","69.7"
"","1","162 (27.4)","134 (28.0)","7 (14.3)","21 (32.8)","","",""
"kidney_transplant (%)","0","1921 (98.6)","1615 (98.9)","168 (97.7)","138 (96.5)","0.027","exact","0.1"
"","1","27 (1.4)","18 (1.1)","4 (2.3)","5 (3.5)","","",""
"palliative_care (%)","0","1532 (78.6)","1279 (78.3)","131 (76.6)","122 (85.3)","0.114","","0.1"
"","1","416 (21.4)","355 (21.7)","40 (23.4)","21 (14.7)","","",""
"discharge_disposition (%)","1","347 (17.9)","278 (17.1)","38 (22.2)","31 (21.7)","0.086","","0.3"
"","2","1031 (53.1)","863 (53.0)","85 (49.7)","83 (58.0)","","",""
"","3","322 (16.6)","280 (17.2)","23 (13.5)","19 (13.3)","","",""
"","4","243 (12.5)","208 (12.8)","25 (14.6)","10 (7.0)","","",""
"code_status (%)","1","1259 (64.8)","1055 (64.8)","109 (63.4)","95 (66.4)","0.678","","0.4"
"","2","391 (20.1)","325 (20.0)","34 (19.8)","32 (22.4)","","",""
"","3","292 (15.0)","247 (15.2)","29 (16.9)","16 (11.2)","","",""
"Akin (%)","1","671 (34.6)","578 (35.6)","55 (32.0)","38 (27.0)","0.114","","0.6"
"","2","453 (23.4)","384 (23.6)","38 (22.1)","31 (22.0)","","",""
"","3","813 (42.0)","662 (40.8)","79 (45.9)","72 (51.1)","","",""
"final_type_of_aki (%)","1","880 (45.2)","747 (45.7)","74 (43.0)","59 (41.3)","0.235","","0.0"
"","2","235 (12.1)","203 (12.4)","15 (8.7)","17 (11.9)","","",""
"","3","576 (29.6)","477 (29.2)","58 (33.7)","41 (28.7)","","",""
"","4","116 (6.0)","95 (5.8)","13 (7.6)","8 (5.6)","","",""
"","5","142 (7.3)","112 (6.9)","12 (7.0)","18 (12.6)","","",""
"MELD_baseline (median [IQR])","","22.00 [16.00, 29.00]","22.00 [16.00, 29.00]","22.00 [17.00, 28.00]","22.00 [17.00, 30.00]","0.735","nonnorm","2.8"
"MELD_Na_baseline (median [IQR])","","25.00 [19.00, 31.00]","25.00 [19.00, 31.00]","25.00 [20.75, 30.00]","26.00 [20.00, 32.00]","0.768","nonnorm","0.0"
"site (%)","baylor","214 (11.0)","172 (10.5)","28 (16.3)","14 (9.8)","<0.001","","0.0"
"","indiana","213 (10.9)","200 (12.2)","10 (5.8)","3 (2.1)","","",""
"","jacksonville","107 (5.5)","96 (5.9)","8 (4.7)","3 (2.1)","","",""
"","kentukey","170 (8.7)","157 (9.6)","13 (7.6)","0 (0.0)","","",""
"","MCW","124 (6.4)","83 (5.1)","24 (14.0)","17 (11.9)","","",""
"","mgh","358 (18.4)","301 (18.4)","29 (16.9)","28 (19.6)","","",""
"","michigan","157 (8.1)","142 (8.7)","12 (7.0)","3 (2.1)","","",""
"","oschner","109 (5.6)","83 (5.1)","21 (12.2)","5 (3.5)","","",""
"","rochester","248 (12.7)","227 (13.9)","2 (1.2)","19 (13.3)","","",""
"","usc","65 (3.3)","28 (1.7)","2 (1.2)","35 (24.5)","","",""
"","yale","184 (9.4)","145 (8.9)","23 (13.4)","16 (11.2)","","",""
"AKI_responders (%)","complete response","824 (42.5)","711 (43.8)","67 (39.0)","46 (32.6)","0.057","","0.6"
"","no response","826 (42.6)","672 (41.4)","83 (48.3)","71 (50.4)","","",""
"","partial response","287 (14.8)","241 (14.8)","22 (12.8)","24 (17.0)","","",""
"clif_score (median [IQR])","","9.00 [8.00, 11.00]","9.00 [8.00, 11.00]","9.00 [8.00, 11.00]","9.00 [8.00, 12.00]","0.676","nonnorm","0.0"
"MAP (median [IQR])","","69.00 [60.67, 77.33]","68.67 [60.33, 77.00]","73.17 [66.33, 81.83]","68.67 [60.83, 75.00]","<0.001","nonnorm","0.0"
"CLIF_C_Score (median [IQR])","","48.69 [42.22, 55.25]","48.84 [42.43, 55.26]","47.26 [42.20, 54.76]","48.21 [41.24, 56.23]","0.716","nonnorm","0.0"
"aclf_grade (%)","1","293 (15.0)","241 (14.7)","33 (19.2)","19 (13.3)","0.410","","0.0"
"","2","599 (30.7)","496 (30.4)","55 (32.0)","48 (33.6)","","",""
"","3","1057 (54.2)","897 (54.9)","84 (48.8)","76 (53.1)","","",""
"status_90days (median [IQR])","","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.168","nonnorm","0.0"
"time_90days (median [IQR])","","79.00 [17.00, 90.00]","81.00 [17.00, 90.00]","86.50 [15.00, 90.00]","53.00 [14.00, 90.00]","0.452","nonnorm","0.0"
"Encephalopathy (%)","0","1582 (81.2)","1333 (81.6)","136 (79.1)","113 (79.0)","0.575","","0.0"
"","1","367 (18.8)","301 (18.4)","36 (20.9)","30 (21.0)","","",""
"Alcoholic_hepatitis (%)","0","1886 (96.8)","1579 (96.6)","166 (96.5)","141 (98.6)","0.435","","0.0"
"","1","63 (3.2)","55 (3.4)","6 (3.5)","2 (1.4)","","",""
"HCC (%)","0","1917 (98.4)","1611 (98.6)","168 (97.7)","138 (96.5)","0.087","exact","0.0"
"","1","32 (1.6)","23 (1.4)","4 (2.3)","5 (3.5)","","",""
"New_diagnosis_of_cirrhosis (%)","0","1912 (98.1)","1605 (98.2)","170 (98.8)","137 (95.8)","0.123","exact","0.0"
"","1","37 (1.9)","29 (1.8)","2 (1.2)","6 (4.2)","","",""
"Transplant_evalutation (%)","0","1831 (93.9)","1547 (94.7)","164 (95.3)","120 (83.9)","<0.001","","0.0"
"","1","118 (6.1)","87 (5.3)","8 (4.7)","23 (16.1)","","",""
"SBP (%)","0","1867 (95.8)","1564 (95.7)","166 (96.5)","137 (95.8)","0.885","","0.0"
"","1","82 (4.2)","70 (4.3)","6 (3.5)","6 (4.2)","","",""
"aki_stage_4 (%)","1","671 (34.6)","578 (35.6)","55 (32.0)","38 (27.0)","<0.001","","0.6"
"","2","453 (23.4)","384 (23.6)","38 (22.1)","31 (22.0)","","",""
"","3","477 (24.6)","402 (24.8)","48 (27.9)","27 (19.1)","","",""
"","4","336 (17.3)","260 (16.0)","31 (18.0)","45 (31.9)","","",""
"death_discharge (%)","0","1585 (81.7)","1343 (82.5)","130 (76.0)","112 (78.9)","0.074","","0.5"
"","1","355 (18.3)","284 (17.5)","41 (24.0)","30 (21.1)","","",""
"baseline_creatinine (median [IQR])","","1.10 [0.87, 1.37]","1.10 [0.88, 1.38]","1.12 [0.90, 1.40]","1.01 [0.80, 1.26]","0.021","nonnorm","15.5"
"admission_route (%)","1","1483 (76.2)","1232 (75.4)","147 (86.5)","104 (72.7)","0.020","","0.2"
"","2","461 (23.7)","399 (24.4)","23 (13.5)","39 (27.3)","","",""
"","3","2 (0.1)","2 (0.1)","0 (0.0)","0 (0.0)","","",""
"los (median [IQR])","","9.00 [4.00, 16.00]","8.00 [4.00, 16.00]","9.00 [5.00, 15.00]","9.00 [4.50, 18.50]","0.426","nonnorm","0.2"
"admission_route (%)","1","1483 (76.2)","1232 (75.4)","147 (86.5)","104 (72.7)","0.020","","0.2"
"","2","461 (23.7)","399 (24.4)","23 (13.5)","39 (27.3)","","",""
"","3","2 (0.1)","2 (0.1)","0 (0.0)","0 (0.0)","","",""
"peak_creatinine (median [IQR])","","2.53 [1.92, 3.61]","2.50 [1.92, 3.57]","2.85 [2.10, 4.00]","2.42 [1.84, 3.55]","0.037","nonnorm","0.5"
"rrt_crrt (%)","0","225 (50.8)","201 (53.2)","18 (42.9)","6 (26.1)","0.023","","77.3"
"","1","218 (49.2)","177 (46.8)","24 (57.1)","17 (73.9)","","",""
"initial_rrt (%)","1","99 (29.6)","85 (32.7)","7 (23.3)","7 (15.9)","0.058","","82.9"
"","2","235 (70.4)","175 (67.3)","23 (76.7)","37 (84.1)","","",""
"readmissions (%)","0","985 (55.9)","829 (55.4)","96 (60.4)","60 (56.6)","0.295","","9.6"
"","1","406 (23.1)","347 (23.2)","29 (18.2)","30 (28.3)","","",""
"","2","187 (10.6)","163 (10.9)","19 (11.9)","5 (4.7)","","",""
"","3","95 (5.4)","84 (5.6)","8 (5.0)","3 (2.8)","","",""
"","4","46 (2.6)","39 (2.6)","5 (3.1)","2 (1.9)","","",""
"","5","26 (1.5)","22 (1.5)","2 (1.3)","2 (1.9)","","",""
"","6","6 (0.3)","4 (0.3)","0 (0.0)","2 (1.9)","","",""
"","7","4 (0.2)","3 (0.2)","0 (0.0)","1 (0.9)","","",""
"","8","1 (0.1)","1 (0.1)","0 (0.0)","0 (0.0)","","",""
"","9","3 (0.2)","2 (0.1)","0 (0.0)","1 (0.9)","","",""
"","14","1 (0.1)","1 (0.1)","0 (0.0)","0 (0.0)","","",""
"","15","1 (0.1)","1 (0.1)","0 (0.0)","0 (0.0)","","",""
"days_icu (median [IQR])","","4.00 [2.00, 9.00]","4.00 [2.00, 9.00]","4.00 [2.00, 11.00]","2.00 [1.00, 9.00]","0.488","nonnorm","54.3"
"intubated (%)","0","1445 (74.2)","1208 (74.0)","130 (75.6)","107 (75.4)","0.855","","0.1"
"","1","502 (25.8)","425 (26.0)","42 (24.4)","35 (24.6)","","",""
"death_discharge (%)","0","1585 (81.7)","1343 (82.5)","130 (76.0)","112 (78.9)","0.074","","0.5"
"","1","355 (18.3)","284 (17.5)","41 (24.0)","30 (21.1)","","",""
"respiratory_failure (%)","1","408 (21.1)","342 (21.1)","35 (20.3)","31 (21.7)","0.076","","0.8"
"","2","74 (3.8)","61 (3.8)","9 (5.2)","4 (2.8)","","",""
"","3","276 (14.3)","237 (14.6)","22 (12.8)","17 (11.9)","","",""
"","4","310 (16.0)","249 (15.4)","42 (24.4)","19 (13.3)","","",""
"","5","866 (44.8)","730 (45.1)","64 (37.2)","72 (50.3)","","",""
"liver_transplant (%)","0","429 (72.6)","344 (72.0)","42 (85.7)","43 (67.2)","0.072","","69.7"
"","1","162 (27.4)","134 (28.0)","7 (14.3)","21 (32.8)","","",""
"kidney_transplant (%)","0","1921 (98.6)","1615 (98.9)","168 (97.7)","138 (96.5)","0.027","exact","0.1"
"","1","27 (1.4)","18 (1.1)","4 (2.3)","5 (3.5)","","",""
"discharge_disposition (%)","1","347 (17.9)","278 (17.1)","38 (22.2)","31 (21.7)","0.086","","0.3"
"","2","1031 (53.1)","863 (53.0)","85 (49.7)","83 (58.0)","","",""
"","3","322 (16.6)","280 (17.2)","23 (13.5)","19 (13.3)","","",""
"","4","243 (12.5)","208 (12.8)","25 (14.6)","10 (7.0)","","",""
