"","Overall","Black or African American","White","p","test","Missing"
"n","522","174","348","","",""
"age_admission (median [IQR])","61.00 [54.00, 68.00]","62.00 [55.00, 68.00]","61.00 [54.00, 68.00]","0.563","nonnorm","0.0"
"sex = 2 (%)","197 (37.7)","64 (36.8)","133 (38.2)","0.823","","0.0"
"White = 1 (%)","348 (66.7)","0 (0.0)","348 (100.0)","<0.001","","0.0"
"hispanic_race = 1 (%)","21 (4.0)","5 (2.9)","16 (4.6)","0.478","","0.0"
"reason_for_admission (%)","","","","0.149","","0.0"
"   1","223 (42.7)","71 (40.8)","152 (43.7)","","",""
"   2","48 (9.2)","11 (6.3)","37 (10.6)","","",""
"   3","251 (48.1)","92 (52.9)","159 (45.7)","","",""
"loop_diuretic = 1 (%)","310 (59.4)","100 (57.5)","210 (60.3)","0.592","","0.0"
"aldosterone_antagonist = 1 (%)","219 (42.0)","72 (41.4)","147 (42.2)","0.925","","0.0"
"lactulose = 1 (%)","221 (42.4)","72 (41.4)","149 (42.9)","0.806","","0.2"
"rifaximin = 1 (%)","140 (26.9)","40 (23.1)","100 (28.8)","0.202","","0.4"
"prophylactic_antibiotic = 1 (%)","53 (10.2)","15 (8.6)","38 (10.9)","0.505","","0.0"
"nsaids = 1 (%)","58 (11.2)","25 (14.5)","33 (9.5)","0.124","","0.4"
"beta_blockers = 1 (%)","218 (41.8)","76 (43.7)","142 (40.8)","0.594","","0.0"
"albumin_given_admission = 1 (%)","328 (63.1)","100 (57.5)","228 (65.9)","0.075","","0.4"
"albumin_amount_admission (median [IQR])","125.00 [68.75, 162.50]","125.00 [75.00, 154.62]","113.40 [56.25, 168.75]","0.716","nonnorm","47.3"
"albumin_given_prior = 1 (%)","21 (12.1)","5 (9.1)","16 (13.4)","0.569","","66.7"
"diabetes = 1 (%)","219 (42.0)","79 (45.7)","140 (40.2)","0.276","","0.2"
"cad = 1 (%)","97 (18.6)","35 (20.1)","62 (17.8)","0.605","","0.0"
"ckd = 1 (%)","183 (35.1)","62 (35.6)","121 (34.8)","0.922","","0.0"
"htn = 1 (%)","364 (69.7)","122 (70.1)","242 (69.5)","0.973","","0.0"
"etiology_cirrhosis (%)","","","","<0.001","","0.0"
"   Alcohol","199 (38.1)","63 (36.2)","136 (39.1)","","",""
"   HCV","97 (18.6)","51 (29.3)","46 (13.2)","","",""
"   Multifactorial","56 (10.7)","21 (12.1)","35 (10.1)","","",""
"   NASH","85 (16.3)","10 (5.7)","75 (21.6)","","",""
"   Other","85 (16.3)","29 (16.7)","56 (16.1)","","",""
"ascites_admission = 1 (%)","390 (74.7)","120 (69.0)","270 (77.6)","0.042","","0.0"
"encephalopathy_admission = 1 (%)","310 (59.5)","104 (59.8)","206 (59.4)","1.000","","0.2"
"gi_bleed_admission = 1 (%)","178 (34.2)","72 (41.4)","106 (30.6)","0.019","","0.4"
