,Overall,Black or African American,White,p,test,Missing
n,522,174,348,,,
age_admission (median [IQR]),"62.00 [54.25, 69.00]","62.00 [55.00, 68.00]","62.00 [54.00, 70.00]",0.883,nonnorm,0
sex = 2 (%),193 (37.0),64 (36.8),129 (37.1),1,,0
hispanic_race = 1 (%),24 (4.6),5 (2.9),19 (5.5),0.268,,0
reason_for_admission (%),,,,0.022,,0.2
1,208 (39.9),71 (40.8),137 (39.5),,,
2,61 (11.7),11 (6.3),50 (14.4),,,
3,252 (48.4),92 (52.9),160 (46.1),,,
loop_diuretic = 1 (%),323 (62.1),100 (57.5),223 (64.5),0.146,,0.4
aldosterone_antagonist = 1 (%),241 (46.3),72 (41.4),169 (48.7),0.137,,0.2
lactulose = 1 (%),205 (39.3),72 (41.4),133 (38.3),0.564,,0.2
rifaximin = 1 (%),139 (26.7),40 (23.1),99 (28.5),0.227,,0.4
prophylactic_antibiotic = 1 (%),51 (9.8),15 (8.6),36 (10.3),0.639,,0
nsaids = 1 (%),51 (9.8),25 (14.5),26 (7.5),0.018,,0.4
beta_blockers = 1 (%),236 (45.2),76 (43.7),160 (46.0),0.686,,0
albumin_given_admission = 1 (%),321 (61.6),100 (57.5),221 (63.7),0.2,,0.2
albumin_amount_admission (median [IQR]),"125.00 [75.00, 163.88]","125.00 [75.00, 154.62]","125.00 [75.00, 175.00]",0.794,nonnorm,54
albumin_given_prior = 1 (%),23 (17.4),5 (9.1),18 (23.4),0.057,,74.7
diabetes = 1 (%),236 (45.3),79 (45.7),157 (45.1),0.98,,0.2
cad = 1 (%),96 (18.4),35 (20.1),61 (17.5),0.549,,0
ckd = 1 (%),189 (36.2),62 (35.6),127 (36.5),0.923,,0
htn = 1 (%),351 (67.2),122 (70.1),229 (65.8),0.373,,0
etiology_cirrhosis (%),,,,<0.001,,0
   Alcohol,185 (35.4),63 (36.2),122 (35.1),,,
   HCV,91 (17.4),51 (29.3),40 (11.5),,,
   Multifactorial,61 (11.7),21 (12.1),40 (11.5),,,
   NASH,87 (16.7),10 (5.7),77 (22.1),,,
   Other,98 (18.8),29 (16.7),69 (19.8),,,
ascites_admission = 1 (%),354 (67.8),120 (69.0),234 (67.2),0.766,,0
encephalopathy_admission = 1 (%),283 (54.4),104 (59.8),179 (51.7),0.1,,0.4
gi_bleed_admission = 1 (%),171 (32.8),72 (41.4),99 (28.5),0.004,,0.2
peritonitis_admission = 1 (%),59 (11.3),20 (11.5),39 (11.3),1,,0.4
hcc_admission = 1 (%),68 (13.1),26 (14.9),42 (12.1),0.442,,0.2
tips_admission = 1 (%),39 (7.5),6 (3.4),33 (9.5),0.021,,0.4
lvp_admission = 1 (%),134 (25.8),53 (30.5),81 (23.5),0.108,,0.6
alcoholic_hepatitis_admission = 1 (%),68 (13.1),23 (13.2),45 (13.0),1,,0.2
na_admit (median [IQR]),"135.00 [131.00, 139.00]","135.00 [132.00, 139.00]","135.00 [131.00, 139.00]",0.617,nonnorm,0
k_admit (median [IQR]),"4.40 [3.80, 5.10]","4.30 [3.70, 5.10]","4.40 [3.90, 5.10]",0.116,nonnorm,0.6
cl_admit (median [IQR]),"100.50 [95.00, 106.00]","101.00 [96.00, 106.00]","100.00 [95.00, 105.00]",0.111,nonnorm,0
co2_admit (median [IQR]),"21.00 [18.00, 24.00]","20.00 [18.00, 23.00]","21.00 [18.00, 24.00]",0.118,nonnorm,0
bun_admit (median [IQR]),"37.00 [23.00, 54.00]","36.00 [20.00, 53.75]","38.00 [24.75, 54.00]",0.18,nonnorm,0
creatinine_admission (median [IQR]),"1.96 [1.55, 2.80]","2.00 [1.62, 2.89]","1.90 [1.53, 2.70]",0.172,nonnorm,0
urine_creatinine (median [IQR]),"109.78 [66.00, 165.75]","130.40 [78.00, 183.00]","103.70 [63.20, 149.00]",0.005,nonnorm,37.5
ca_admit (median [IQR]),"8.80 [8.20, 9.20]","8.80 [8.10, 9.30]","8.70 [8.30, 9.20]",0.967,nonnorm,0.4
mg_admit (median [IQR]),"2.00 [1.70, 2.20]","1.90 [1.70, 2.20]","2.00 [1.70, 2.20]",0.62,nonnorm,20.5
phos_admit (median [IQR]),"3.95 [3.10, 4.80]","3.80 [2.90, 4.75]","4.00 [3.20, 4.80]",0.124,nonnorm,30.7
peak_creatinine (median [IQR]),"2.62 [1.94, 3.86]","2.85 [2.10, 4.00]","2.54 [1.90, 3.76]",0.067,nonnorm,0.4
alt_admit (median [IQR]),"31.00 [19.00, 56.00]","30.50 [20.00, 59.75]","32.00 [19.00, 55.00]",0.753,nonnorm,0.6
alkphos_admit (median [IQR]),"126.00 [90.00, 194.00]","132.50 [93.00, 199.50]","122.00 [90.00, 190.00]",0.448,nonnorm,0.6
tb_admit (median [IQR]),"2.00 [1.00, 5.20]","2.20 [1.10, 5.65]","2.00 [0.90, 5.10]",0.381,nonnorm,0.6
alb_admit (median [IQR]),"2.90 [2.50, 3.50]","2.80 [2.30, 3.40]","3.00 [2.58, 3.50]",0.011,nonnorm,0.8
nh3_admit (median [IQR]),"56.00 [36.00, 91.00]","58.00 [41.00, 102.50]","54.00 [32.00, 83.00]",0.031,nonnorm,49
inr_admit (median [IQR]),"1.50 [1.20, 2.00]","1.60 [1.20, 2.09]","1.50 [1.21, 1.90]",0.339,nonnorm,2.9
