,Overall,0,1,p,test,Missing
n,178,132,46,,,
age_admission (median [IQR]),"60.00 [53.00, 66.00]","60.00 [53.00, 65.00]","60.00 [52.00, 69.75]",0.534,nonnorm,0
sex = 2 (%),56 (31.5),39 (29.5),17 (37.0),0.455,,0
White = 1 (%),94 (52.8),74 (56.1),20 (43.5),0.193,,0
reason_for_admission (%),,,,0.141,,0
1,103 (57.9),78 (59.1),25 (54.3),,,
2,12 (6.7),6 (4.5),6 (13.0),,,
3,63 (35.4),48 (36.4),15 (32.6),,,
loop_diuretic = 1 (%),118 (66.3),83 (62.9),35 (76.1),0.147,,0
aldosterone_antagonist = 1 (%),90 (50.6),64 (48.5),26 (56.5),0.443,,0
lactulose = 1 (%),87 (48.9),60 (45.5),27 (58.7),0.169,,0
rifaximin = 1 (%),49 (27.5),36 (27.3),13 (28.3),1,,0
prophylactic_antibiotic = 1 (%),25 (14.0),20 (15.2),5 (10.9),0.636,,0
nsaids = 1 (%),20 (11.2),14 (10.6),6 (13.0),0.857,,0
beta_blockers = 1 (%),70 (39.3),51 (38.6),19 (41.3),0.886,,0
albumin_given_admission = 1 (%),108 (60.7),71 (53.8),37 (80.4),0.003,,0
albumin_amount_admission (median [IQR]),"100.00 [75.00, 157.50]","100.00 [75.00, 150.00]","125.00 [78.75, 175.00]",0.276,nonnorm,42.7
albumin_given_prior = 1 (%),14 (22.2),7 (15.2),7 (41.2),0.063,,64.6
diabetes = 1 (%),85 (48.0),70 (53.4),15 (32.6),0.024,,0.6
cad = 1 (%),28 (15.7),23 (17.4),5 (10.9),0.414,,0
ckd = 1 (%),45 (25.4),38 (29.0),7 (15.2),0.099,,0.6
htn = 1 (%),104 (58.4),78 (59.1),26 (56.5),0.896,,0
etiology_cirrhosis (%),,,,0.783,,0
   Alcohol,65 (36.5),47 (35.6),18 (39.1),,,
   HCV,26 (14.6),21 (15.9),5 (10.9),,,
   Multifactorial,21 (11.8),15 (11.4),6 (13.0),,,
   NASH,26 (14.6),21 (15.9),5 (10.9),,,
   Other,40 (22.5),28 (21.2),12 (26.1),,,
ascites_admission = 1 (%),137 (77.0),98 (74.2),39 (84.8),0.208,,0
encephalopathy_admission = 1 (%),110 (61.8),73 (55.3),37 (80.4),0.004,,0
gi_bleed_admission = 1 (%),62 (34.8),42 (31.8),20 (43.5),0.211,,0
peritonitis_admission = 1 (%),29 (16.3),20 (15.2),9 (19.6),0.641,,0
hcc_admission = 1 (%),25 (14.0),15 (11.4),10 (21.7),0.134,,0
tips_admission = 1 (%),8 (4.5),5 (3.8),3 (6.5),0.428,exact,0
lvp_admission = 1 (%),59 (33.3),47 (35.9),12 (26.1),0.303,,0.6
alcoholic_hepatitis_admission = 1 (%),25 (14.0),17 (12.9),8 (17.4),0.609,,0
na_admit (median [IQR]),"134.00 [129.25, 138.00]","135.00 [129.00, 138.00]","134.00 [131.00, 137.00]",0.988,nonnorm,0
k_admit (median [IQR]),"4.40 [3.80, 5.00]","4.40 [3.80, 5.12]","4.25 [3.82, 4.90]",0.458,nonnorm,0
cl_admit (median [IQR]),"101.00 [95.00, 106.00]","101.00 [94.00, 106.00]","101.00 [96.25, 104.00]",0.628,nonnorm,0
co2_admit (median [IQR]),"21.00 [17.25, 24.00]","21.00 [17.00, 24.00]","21.00 [18.00, 22.75]",0.648,nonnorm,0
bun_admit (median [IQR]),"37.00 [23.00, 56.75]","36.00 [23.00, 56.00]","42.50 [21.50, 60.00]",0.626,nonnorm,0
creatinine_admission (median [IQR]),"2.06 [1.44, 2.90]","2.06 [1.49, 2.95]","2.03 [1.23, 2.76]",0.696,nonnorm,0
urine_creatinine (median [IQR]),"89.00 [61.50, 141.10]","85.60 [61.00, 135.40]","101.30 [70.70, 146.90]",0.353,nonnorm,36
ca_admit (median [IQR]),"8.70 [8.20, 9.30]","8.70 [8.15, 9.20]","8.70 [8.22, 9.47]",0.384,nonnorm,0.6
mg_admit (median [IQR]),"2.10 [1.70, 2.30]","2.00 [1.70, 2.30]","2.10 [1.80, 2.40]",0.414,nonnorm,23
phos_admit (median [IQR]),"3.90 [3.10, 4.82]","3.90 [3.08, 4.70]","3.80 [3.20, 5.73]",0.444,nonnorm,32.6
peak_creatinine (median [IQR]),"2.50 [1.94, 3.49]","2.48 [1.79, 3.45]","2.67 [2.22, 3.66]",0.07,nonnorm,1.1
alt_admit (median [IQR]),"31.00 [21.00, 52.75]","30.00 [19.00, 42.25]","39.00 [25.00, 68.00]",0.015,nonnorm,0
alkphos_admit (median [IQR]),"148.50 [101.00, 217.00]","148.50 [100.00, 214.50]","148.50 [118.75, 250.75]",0.397,nonnorm,0
tb_admit (median [IQR]),"2.50 [1.00, 7.30]","1.80 [0.90, 4.72]","7.25 [2.92, 22.15]",<0.001,nonnorm,0
alb_admit (median [IQR]),"2.90 [2.50, 3.50]","3.05 [2.50, 3.60]","2.65 [2.30, 3.00]",0.004,nonnorm,0
nh3_admit (median [IQR]),"71.00 [39.00, 112.00]","64.50 [39.00, 112.25]","73.00 [42.00, 110.00]",0.84,nonnorm,50
inr_admit (median [IQR]),"1.50 [1.27, 2.00]","1.40 [1.20, 1.80]","1.95 [1.51, 2.70]",<0.001,nonnorm,1.7
wbc_admit (median [IQR]),"7.60 [5.19, 10.80]","7.44 [5.20, 10.72]","8.69 [5.02, 11.49]",0.443,nonnorm,0
hct_admit (median [IQR]),"31.00 [25.00, 35.25]","31.55 [25.00, 35.45]","30.25 [25.05, 33.03]",0.227,nonnorm,0
plt_admit (median [IQR]),"103.00 [64.25, 170.00]","106.00 [69.50, 167.25]","78.00 [51.25, 188.25]",0.364,nonnorm,0
urine_sodium (median [IQR]),"24.00 [20.00, 57.00]","25.00 [20.00, 61.00]","20.00 [19.75, 46.00]",0.223,nonnorm,30.3
fena (median [IQR]),"0.37 [0.18, 1.37]","0.37 [0.22, 1.60]","0.39 [0.10, 0.95]",0.271,nonnorm,41.6
he_grade_admission (%),,,,0.112,exact,1.1
1,110 (62.5),86 (66.2),24 (52.2),,,
2,28 (15.9),20 (15.4),8 (17.4),,,
3,21 (11.9),15 (11.5),6 (13.0),,,
4,12 (6.8),5 (3.8),7 (15.2),,,
5,5 (2.8),4 (3.1),1 (2.2),,,
sbp_admission (median [IQR]),"99.00 [88.00, 111.00]","100.00 [90.00, 116.00]","92.00 [82.25, 106.75]",0.043,nonnorm,0
dbp_admission (median [IQR]),"53.00 [46.25, 61.75]","54.00 [47.00, 64.00]","51.00 [41.00, 58.75]",0.04,nonnorm,0
rrt = 1 (%),43 (24.2),22 (16.7),21 (45.7),<0.001,,0
rrt_hemodialysis = 1 (%),24 (54.5),16 (69.6),8 (38.1),0.073,,75.3
initial_rrt = 2 (%),32 (74.4),15 (68.2),17 (81.0),0.488,exact,75.8
icu_admission = 1 (%),80 (44.9),46 (34.8),34 (73.9),<0.001,,0
hrs_vasoconstrictor = 1 (%),76 (42.7),47 (35.6),29 (63.0),0.002,,0
pressor = 1 (%),51 (28.7),23 (17.4),28 (60.9),<0.001,,0
intubated = 1 (%),39 (22.0),18 (13.6),21 (46.7),<0.001,,0.6
respiratory_failure (%),,,,<0.001,exact,0.6
1,33 (18.6),14 (10.7),19 (41.3),,,
2,5 (2.8),1 (0.8),4 (8.7),,,
3,18 (10.2),11 (8.4),7 (15.2),,,
4,30 (16.9),23 (17.6),7 (15.2),,,
5,91 (51.4),82 (62.6),9 (19.6),,,
liver_transplant_listed = 1 (%),31 (17.4),27 (20.5),4 (8.7),0.113,,0
liver_transplant = 1 (%),21 (36.2),21 (45.7),0 (0.0),0.002,exact,67.4
kidney_transplant = 1 (%),3 (1.7),3 (2.3),0 (0.0),0.57,exact,0
palliative_care = 1 (%),19 (10.7),8 (6.1),11 (23.9),0.002,,0
discharge_disposition (%),,,,<0.001,exact,0
1,28 (15.7),0 (0.0),28 (60.9),,,
2,109 (61.2),98 (74.2),11 (23.9),,,
3,31 (17.4),28 (21.2),3 (6.5),,,
4,10 (5.6),6 (4.5),4 (8.7),,,
code_status (%),,,,<0.001,,0
1,134 (75.3),118 (89.4),16 (34.8),,,
2,25 (14.0),8 (6.1),17 (37.0),,,
3,19 (10.7),6 (4.5),13 (28.3),,,
Akin (%),,,,0.002,,1.1
1,54 (30.7),46 (35.4),8 (17.4),,,
2,42 (23.9),35 (26.9),7 (15.2),,,
3,80 (45.5),49 (37.7),31 (67.4),,,
final_type_of_aki (%),,,,0.328,exact,0
1,89 (50.0),69 (52.3),20 (43.5),,,
2,22 (12.4),16 (12.1),6 (13.0),,,
