,Overall,0,1,p,test,Missing
n,1989,1278,711,,,
age_admission (median [IQR]),"62.00 [54.00, 69.00]","62.00 [54.00, 69.00]","62.00 [53.00, 69.00]",0.978,nonnorm,0
sex = 2 (%),760 (38.2),483 (37.8),277 (39.0),0.652,,0.1
White = 1 (%),1636 (82.3),1054 (82.5),582 (81.9),0.777,,0
reason_for_admission (%),,,,0.194,,0.1
1,942 (47.4),589 (46.1),353 (49.7),,,
2,186 (9.4),117 (9.2),69 (9.7),,,
3,860 (43.3),572 (44.8),288 (40.6),,,
loop_diuretic = 1 (%),1255 (63.2),813 (63.7),442 (62.2),0.524,,0.1
aldosterone_antagonist = 1 (%),928 (46.7),597 (46.8),331 (46.7),1,,0.2
lactulose = 1 (%),889 (44.7),526 (41.2),363 (51.1),<0.001,,0.1
rifaximin = 1 (%),585 (29.4),364 (28.5),221 (31.1),0.251,,0.1
prophylactic_antibiotic = 1 (%),219 (11.0),150 (11.7),69 (9.7),0.189,,0
nsaids = 1 (%),193 (9.7),129 (10.1),64 (9.0),0.468,,0.2
beta_blockers = 1 (%),800 (40.2),563 (44.1),237 (33.3),<0.001,,0
albumin_given_admission = 1 (%),1327 (66.9),761 (59.6),566 (79.8),<0.001,,0.2
albumin_amount_admission (median [IQR]),"125.00 [75.00, 175.00]","112.50 [75.00, 175.00]","125.00 [62.50, 175.00]",0.179,nonnorm,43.2
albumin_given_prior = 1 (%),108 (15.5),51 (13.6),57 (17.8),0.156,,65
diabetes = 1 (%),818 (41.2),572 (44.9),246 (34.6),<0.001,,0.2
cad = 1 (%),394 (19.8),264 (20.7),130 (18.3),0.222,,0.1
ckd = 1 (%),604 (30.5),423 (33.3),181 (25.5),<0.001,,0.3
htn = 1 (%),1156 (58.1),781 (61.2),375 (52.7),<0.001,,0.1
etiology_cirrhosis (%),,,,0.071,,0
   Alcohol,771 (38.8),487 (38.1),284 (39.9),,,
   HCV,226 (11.4),140 (11.0),86 (12.1),,,
   Multifactorial,185 (9.3),122 (9.5),63 (8.9),,,
   NASH,432 (21.7),301 (23.6),131 (18.4),,,
   Other,375 (18.9),228 (17.8),147 (20.7),,,
ascites_admission = 1 (%),1548 (77.8),938 (73.4),610 (85.8),<0.001,,0
encephalopathy_admission = 1 (%),1166 (58.7),668 (52.4),498 (70.0),<0.001,,0.1
gi_bleed_admission = 1 (%),687 (34.6),425 (33.3),262 (36.8),0.123,,0.1
peritonitis_admission = 1 (%),280 (14.1),165 (13.0),115 (16.2),0.056,,0.2
hcc_admission = 1 (%),230 (11.6),116 (9.1),114 (16.0),<0.001,,0.1
tips_admission = 1 (%),161 (8.1),110 (8.6),51 (7.2),0.299,,0.2
lvp_admission = 1 (%),642 (32.3),396 (31.1),246 (34.6),0.12,,0.2
alcoholic_hepatitis_admission = 1 (%),286 (14.4),169 (13.2),117 (16.5),0.058,,0.1
na_admit (median [IQR]),"134.00 [130.00, 138.00]","135.00 [131.00, 138.00]","134.00 [129.00, 138.00]",0.001,nonnorm,0
k_admit (median [IQR]),"4.40 [3.80, 5.00]","4.40 [3.80, 5.00]","4.30 [3.80, 5.00]",0.346,nonnorm,0.4
cl_admit (median [IQR]),"100.00 [95.00, 105.00]","100.00 [95.00, 105.00]","100.00 [94.00, 104.00]",0.132,nonnorm,0
