,Overall,0,1,p,test,Missing
n,1811,1146,665,,,
age_admission (median [IQR]),"62.00 [54.00, 69.00]","62.00 [54.00, 69.00]","62.00 [53.00, 69.00]",0.733,nonnorm,0
sex = 2 (%),704 (38.9),444 (38.8),260 (39.1),0.932,,0.1
White = 1 (%),1542 (85.1),980 (85.5),562 (84.5),0.61,,0
reason_for_admission (%),,,,0.126,,0.1
1,839 (46.4),511 (44.6),328 (49.4),,,
2,174 (9.6),111 (9.7),63 (9.5),,,
3,797 (44.0),524 (45.7),273 (41.1),,,
loop_diuretic = 1 (%),1137 (62.9),730 (63.8),407 (61.2),0.291,,0.1
aldosterone_antagonist = 1 (%),838 (46.3),533 (46.6),305 (46.0),0.86,,0.2
lactulose = 1 (%),802 (44.3),466 (40.7),336 (50.5),<0.001,,0.1
rifaximin = 1 (%),536 (29.6),328 (28.7),208 (31.3),0.264,,0.1
prophylactic_antibiotic = 1 (%),194 (10.7),130 (11.3),64 (9.6),0.288,,0
nsaids = 1 (%),173 (9.6),115 (10.1),58 (8.7),0.395,,0.2
beta_blockers = 1 (%),730 (40.3),512 (44.7),218 (32.8),<0.001,,0
albumin_given_admission = 1 (%),1219 (67.5),690 (60.3),529 (79.8),<0.001,,0.2
albumin_amount_admission (median [IQR]),"125.00 [64.38, 175.00]","121.20 [75.00, 175.00]","125.00 [62.50, 175.00]",0.292,nonnorm,43.2
albumin_given_prior = 1 (%),94 (14.8),44 (13.3),50 (16.4),0.322,,65
diabetes = 1 (%),733 (40.5),502 (43.9),231 (34.7),<0.001,,0.1
cad = 1 (%),366 (20.2),241 (21.0),125 (18.8),0.276,,0.1
ckd = 1 (%),559 (31.0),385 (33.7),174 (26.2),0.001,,0.3
htn = 1 (%),1052 (58.1),703 (61.4),349 (52.5),<0.001,,0.1
etiology_cirrhosis (%),,,,0.055,,0
   Alcohol,706 (39.0),440 (38.4),266 (40.0),,,
   HCV,200 (11.0),119 (10.4),81 (12.2),,,
   Multifactorial,164 (9.1),107 (9.3),57 (8.6),,,
   NASH,406 (22.4),280 (24.4),126 (18.9),,,
   Other,335 (18.5),200 (17.5),135 (20.3),,,
ascites_admission = 1 (%),1411 (77.9),840 (73.3),571 (85.9),<0.001,,0
encephalopathy_admission = 1 (%),1056 (58.4),595 (52.0),461 (69.3),<0.001,,0.1
gi_bleed_admission = 1 (%),625 (34.5),383 (33.5),242 (36.4),0.228,,0.1
peritonitis_admission = 1 (%),251 (13.9),145 (12.7),106 (15.9),0.064,,0.2
hcc_admission = 1 (%),205 (11.3),101 (8.8),104 (15.6),<0.001,,0.1
tips_admission = 1 (%),153 (8.5),105 (9.2),48 (7.2),0.161,exact,0.2
lvp_admission = 1 (%),583 (32.2),349 (30.5),234 (35.2),0.047,,0.2
alcoholic_hepatitis_admission = 1 (%),261 (14.4),152 (13.3),109 (16.4),0.08,,0.1
na_admit (median [IQR]),"134.00 [130.00, 138.00]","135.00 [131.00, 138.00]","134.00 [129.00, 138.00]",0.001,nonnorm,0
k_admit (median [IQR]),"4.40 [3.80, 5.00]","4.40 [3.90, 5.00]","4.30 [3.80, 5.00]",0.436,nonnorm,0.4
cl_admit (median [IQR]),"100.00 [95.00, 105.00]","100.00 [95.00, 105.00]","100.00 [94.00, 104.00]",0.17,nonnorm,0
co2_admit (median [IQR]),"21.00 [18.00, 24.00]","21.00 [18.00, 24.00]","20.00 [17.00, 24.00]",<0.001,nonnorm,0.1
bun_admit (median [IQR]),"38.00 [25.00, 55.50]","37.00 [24.00, 54.00]","41.00 [26.00, 59.00]",0.006,nonnorm,0
creatinine_admission (median [IQR]),"1.94 [1.50, 2.80]","1.92 [1.52, 2.69]","2.00 [1.40, 3.03]",0.308,nonnorm,0
urine_creatinine (median [IQR]),"109.00 [70.00, 157.00]","107.00 [65.00, 154.60]","113.87 [78.00, 159.25]",0.059,nonnorm,37.9
ca_admit (median [IQR]),"8.70 [8.20, 9.20]","8.80 [8.20, 9.20]","8.60 [8.00, 9.10]",<0.001,nonnorm,0.3
mg_admit (median [IQR]),"2.00 [1.70, 2.21]","2.00 [1.70, 2.20]","2.00 [1.70, 2.30]",0.057,nonnorm,25.1
phos_admit (median [IQR]),"3.90 [3.10, 4.80]","3.80 [3.10, 4.60]","4.00 [3.12, 5.20]",0.007,nonnorm,32.9
peak_creatinine (median [IQR]),"2.53 [1.92, 3.63]","2.30 [1.81, 3.30]","2.97 [2.22, 4.20]",<0.001,nonnorm,0.4
alt_admit (median [IQR]),"31.00 [20.00, 54.00]","29.00 [19.00, 48.00]","35.00 [21.00, 64.50]",<0.001,nonnorm,1.1
alkphos_admit (median [IQR]),"132.00 [93.00, 194.00]","129.00 [92.00, 186.00]","140.00 [96.00, 219.00]",0.002,nonnorm,1.1
tb_admit (median [IQR]),"2.60 [1.10, 6.80]","2.00 [0.90, 4.80]","4.10 [1.80, 10.70]",<0.001,nonnorm,1.4
