,Overall,0,1,p,test,Missing
n,387,240,147,,,
age_admission (median [IQR]),"61.00 [53.00, 67.00]","61.00 [53.00, 67.00]","61.00 [52.00, 68.00]",0.789,nonnorm,0
sex = 2 (%),151 (39.0),94 (39.2),57 (38.8),1,,0
hispanic_race = 1 (%),84 (21.7),58 (24.2),26 (17.7),0.17,,0
reason_for_admission (%),,,,0.326,,0
1,187 (48.3),110 (45.8),77 (52.4),,,
2,26 (6.7),15 (6.2),11 (7.5),,,
3,174 (45.0),115 (47.9),59 (40.1),,,
loop_diuretic = 1 (%),225 (58.1),144 (60.0),81 (55.1),0.4,,0
aldosterone_antagonist = 1 (%),170 (43.9),107 (44.6),63 (42.9),0.821,,0
lactulose = 1 (%),166 (42.9),94 (39.2),72 (49.0),0.074,,0
rifaximin = 1 (%),95 (24.6),54 (22.6),41 (27.9),0.293,,0.3
prophylactic_antibiotic = 1 (%),37 (9.6),28 (11.7),9 (6.1),0.105,,0
nsaids = 1 (%),38 (9.8),26 (10.9),12 (8.2),0.488,,0.3
beta_blockers = 1 (%),150 (38.8),101 (42.1),49 (33.3),0.108,,0
albumin_given_admission = 1 (%),258 (66.7),141 (58.8),117 (79.6),<0.001,,0
albumin_amount_admission (median [IQR]),"125.00 [75.00, 150.00]","125.00 [75.00, 150.00]","110.00 [75.00, 168.00]",0.555,nonnorm,41.3
albumin_given_prior = 1 (%),28 (18.2),13 (15.1),15 (22.1),0.369,,60.2
diabetes = 1 (%),161 (41.8),119 (50.0),42 (28.6),<0.001,,0.5
cad = 1 (%),69 (17.8),47 (19.6),22 (15.0),0.31,,0
ckd = 1 (%),108 (28.0),86 (36.0),22 (15.0),<0.001,,0.3
htn = 1 (%),220 (56.8),146 (60.8),74 (50.3),0.055,,0
etiology_cirrhosis (%),,,,0.057,,0
   Alcohol,145 (37.5),83 (34.6),62 (42.2),,,
   HCV,72 (18.6),44 (18.3),28 (19.0),,,
   Multifactorial,43 (11.1),30 (12.5),13 (8.8),,,
   NASH,38 (9.8),31 (12.9),7 (4.8),,,
   Other,89 (23.0),52 (21.7),37 (25.2),,,
ascites_admission = 1 (%),305 (79.0),178 (74.5),127 (86.4),0.008,,0.3
encephalopathy_admission = 1 (%),246 (63.6),134 (55.8),112 (76.2),<0.001,,0
gi_bleed_admission = 1 (%),150 (38.8),90 (37.5),60 (40.8),0.588,,0
peritonitis_admission = 1 (%),56 (14.5),36 (15.0),20 (13.6),0.818,,0
hcc_admission = 1 (%),56 (14.5),28 (11.7),28 (19.0),0.064,,0
tips_admission = 1 (%),18 (4.7),9 (3.8),9 (6.1),0.408,,0
lvp_admission = 1 (%),123 (31.8),77 (32.1),46 (31.3),0.96,,0
alcoholic_hepatitis_admission = 1 (%),62 (16.0),32 (13.3),30 (20.4),0.089,,0
na_admit (median [IQR]),"135.00 [131.00, 139.00]","135.00 [131.00, 138.00]","134.00 [130.00, 139.00]",0.454,nonnorm,0
k_admit (median [IQR]),"4.30 [3.80, 5.07]","4.30 [3.80, 5.00]","4.20 [3.80, 5.10]",0.893,nonnorm,0.3
cl_admit (median [IQR]),"101.00 [96.00, 106.00]","101.00 [96.00, 106.00]","101.00 [96.00, 106.00]",0.924,nonnorm,0
co2_admit (median [IQR]),"20.00 [17.00, 23.50]","21.00 [18.00, 24.00]","20.00 [17.00, 23.00]",0.051,nonnorm,0
bun_admit (median [IQR]),"36.00 [21.00, 54.00]","34.00 [21.00, 52.00]","40.00 [20.00, 59.50]",0.234,nonnorm,0
creatinine_admission (median [IQR]),"1.97 [1.50, 2.88]","1.96 [1.51, 2.86]","2.00 [1.48, 3.00]",0.871,nonnorm,0
urine_creatinine (median [IQR]),"112.50 [75.85, 160.00]","108.00 [72.00, 163.50]","115.00 [79.70, 159.50]",0.398,nonnorm,36.4
ca_admit (median [IQR]),"8.70 [8.10, 9.20]","8.75 [8.10, 9.20]","8.60 [8.00, 9.10]",0.112,nonnorm,0.5
mg_admit (median [IQR]),"2.00 [1.70, 2.30]","1.90 [1.63, 2.20]","2.10 [1.80, 2.40]",0.003,nonnorm,20.7
phos_admit (median [IQR]),"3.80 [2.90, 4.80]","3.70 [2.90, 4.60]","3.90 [3.00, 5.12]",0.204,nonnorm,29.5
peak_creatinine (median [IQR]),"2.69 [2.02, 3.87]","2.42 [1.85, 3.70]","3.06 [2.39, 4.33]",<0.001,nonnorm,0.5
alt_admit (median [IQR]),"32.00 [21.00, 65.00]","32.00 [20.00, 50.50]","36.00 [23.00, 94.50]",0.004,nonnorm,0
alkphos_admit (median [IQR]),"133.00 [97.00, 204.00]","129.50 [97.00, 189.00]","141.00 [95.00, 244.50]",0.099,nonnorm,0
tb_admit (median [IQR]),"2.95 [1.40, 7.88]","2.15 [1.00, 5.50]","4.80 [2.02, 11.08]",<0.001,nonnorm,0.3
alb_admit (median [IQR]),"2.80 [2.35, 3.40]","3.00 [2.50, 3.60]","2.60 [2.20, 3.10]",<0.001,nonnorm,0
nh3_admit (median [IQR]),"60.00 [39.00, 106.75]","61.50 [39.00, 102.00]","58.00 [38.50, 109.00]",0.873,nonnorm,47.8
inr_admit (median [IQR]),"1.60 [1.30, 2.11]","1.40 [1.20, 1.93]","1.89 [1.50, 2.60]",<0.001,nonnorm,2.1
wbc_admit (median [IQR]),"7.96 [5.44, 12.45]","7.77 [5.20, 11.64]","8.50 [6.10, 13.30]",0.121,nonnorm,0
hct_admit (median [IQR]),"29.10 [24.10, 34.50]","29.70 [25.00, 35.02]","27.50 [23.00, 33.10]",0.022,nonnorm,0
plt_admit (median [IQR]),"116.00 [70.50, 164.50]","118.00 [75.00, 173.75]","103.00 [65.00, 146.50]",0.046,nonnorm,0
urine_sodium (median [IQR]),"22.00 [20.00, 43.00]","26.00 [20.00, 51.00]","20.00 [20.00, 35.25]",0.032,nonnorm,33.6
fena (median [IQR]),"0.35 [0.17, 0.95]","0.37 [0.19, 1.14]","0.30 [0.17, 0.54]",0.125,nonnorm,40.8
he_grade_admission (%),,,,<0.001,,1.6
1,201 (52.8),147 (62.0),54 (37.5),,,
2,59 (15.5),34 (14.3),25 (17.4),,,
3,50 (13.1),26 (11.0),24 (16.7),,,
4,50 (13.1),20 (8.4),30 (20.8),,,
5,21 (5.5),10 (4.2),11 (7.6),,,
sbp_admission (median [IQR]),"100.00 [89.00, 113.00]","102.00 [91.00, 117.00]","96.00 [86.00, 107.50]",0.001,nonnorm,0
dbp_admission (median [IQR]),"55.00 [49.00, 62.00]","56.00 [51.00, 64.00]","53.00 [45.00, 61.00]",<0.001,nonnorm,0
rrt = 1 (%),103 (26.6),46 (19.2),57 (38.8),<0.001,,0
rrt_hemodialysis = 1 (%),43 (36.8),29 (56.9),14 (21.2),<0.001,,69.8
initial_rrt = 2 (%),81 (80.2),28 (63.6),53 (93.0),<0.001,exact,73.9
icu_admission = 1 (%),190 (49.1),84 (35.0),106 (72.1),<0.001,,0
hrs_vasoconstrictor = 1 (%),154 (39.8),75 (31.2),79 (53.7),<0.001,,0
pressor = 1 (%),128 (33.1),49 (20.4),79 (53.7),<0.001,,0
intubated = 1 (%),108 (28.0),36 (15.0),72 (49.3),<0.001,,0.3
respiratory_failure (%),,,,<0.001,,0
1,94 (24.3),25 (10.4),69 (46.9),,,
2,14 (3.6),8 (3.3),6 (4.1),,,
3,51 (13.2),30 (12.5),21 (14.3),,,
4,68 (17.6),46 (19.2),22 (15.0),,,
5,160 (41.3),131 (54.6),29 (19.7),,,
liver_transplant_listed = 1 (%),56 (14.5),49 (20.4),7 (4.8),<0.001,,0
liver_transplant = 1 (%),32 (25.2),32 (37.6),0 (0.0),<0.001,exact,67.2
kidney_transplant = 1 (%),9 (2.3),9 (3.8),0 (0.0),0.015,exact,0
palliative_care = 1 (%),78 (20.3),20 (8.4),58 (39.5),<0.001,,0.5
discharge_disposition (%),,,,<0.001,,0.3
1,96 (24.9),2 (0.8),94 (63.9),,,
2,192 (49.7),174 (72.8),18 (12.2),,,
3,57 (14.8),48 (20.1),9 (6.1),,,
4,41 (10.6),15 (6.3),26 (17.7),,,
code_status (%),,,,<0.001,,0
1,237 (61.2),211 (87.9),26 (17.7),,,
2,88 (22.7),18 (7.5),70 (47.6),,,
3,62 (16.0),11 (4.6),51 (34.7),,,
Akin (%),,,,<0.001,,1.3
1,111 (29.1),85 (35.9),26 (17.9),,,
2,77 (20.2),56 (23.6),21 (14.5),,,
3,194 (50.8),96 (40.5),98 (67.6),,,
final_type_of_aki (%),,,,<0.001,,0
1,153 (39.5),117 (48.8),36 (24.5),,,
2,37 (9.6),19 (7.9),18 (12.2),,,
3,134 (34.6),65 (27.1),69 (46.9),,,
4,27 (7.0),20 (8.3),7 (4.8),,,
5,36 (9.3),19 (7.9),17 (11.6),,,
MELD_baseline (median [IQR]),"22.00 [17.00, 29.00]","21.00 [16.00, 27.00]","25.00 [20.00, 33.00]",<0.001,nonnorm,2.3
MELD_Na_baseline (median [IQR]),"26.00 [20.00, 32.00]","24.00 [19.00, 30.00]","28.00 [22.00, 34.00]",<0.001,nonnorm,2.3
site (%),,,,<0.001,,0
   baylor,47 (12.1),35 (14.6),12 (8.2),,,
   indiana,23 (5.9),8 (3.3),15 (10.2),,,
   jacksonville,14 (3.6),12 (5.0),2 (1.4),,,
   kentukey,17 (4.4),6 (2.5),11 (7.5),,,
   MCW,43 (11.1),23 (9.6),20 (13.6),,,
   mgh,75 (19.4),51 (21.2),24 (16.3),,,
   michigan,18 (4.7),13 (5.4),5 (3.4),,,
   oschner,45 (11.6),18 (7.5),27 (18.4),,,
   rochester,24 (6.2),16 (6.7),8 (5.4),,,
   usc,37 (9.6),29 (12.1),8 (5.4),,,
   yale,44 (11.4),29 (12.1),15 (10.2),,,
AKI_responders (%),,,,<0.001,,1.3
   complete response,137 (35.9),114 (48.1),23 (15.9),,,
   no response,193 (50.5),83 (35.0),110 (75.9),,,
   partial response,52 (13.6),40 (16.9),12 (8.3),,,
clif_score (median [IQR]),"9.00 [8.00, 12.00]","8.00 [7.00, 10.00]","11.00 [9.00, 13.00]",<0.001,nonnorm,0
MAP (median [IQR]),"70.67 [62.67, 78.00]","72.33 [65.58, 80.00]","68.67 [57.67, 74.00]",<0.001,nonnorm,0
CLIF_C_Score (median [IQR]),"48.32 [41.89, 56.69]","45.15 [39.56, 53.39]","54.37 [47.35, 61.06]",<0.001,nonnorm,0
aclf_grade (%),,,,<0.001,,0
1,61 (15.8),55 (22.9),6 (4.1),,,
2,113 (29.2),88 (36.7),25 (17.0),,,
3,213 (55.0),97 (40.4),116 (78.9),,,
status_90days (median [IQR]),"0.00 [0.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]",<0.001,nonnorm,0
time_90days (median [IQR]),"48.00 [12.00, 90.00]","90.00 [42.00, 90.00]","14.00 [7.00, 31.00]",<0.001,nonnorm,0
Encephalopathy = 1 (%),81 (20.9),47 (19.6),34 (23.1),0.482,,0
Alcoholic_hepatitis = 1 (%),13 (3.4),7 (2.9),6 (4.1),0.744,,0
HCC = 1 (%),11 (2.8),3 (1.2),8 (5.4),0.024,exact,0
New_diagnosis_of_cirrhosis = 1 (%),10 (2.6),5 (2.1),5 (3.4),0.643,,0
Transplant_evalutation = 1 (%),44 (11.4),28 (11.7),16 (10.9),0.944,,0
SBP = 1 (%),14 (3.6),10 (4.2),4 (2.7),0.581,exact,0
aki_stage_4 (%),,,,<0.001,,1.3
1,111 (29.1),85 (35.9),26 (17.9),,,
2,77 (20.2),56 (23.6),21 (14.5),,,
3,91 (23.8),50 (21.1),41 (28.3),,,
4,103 (27.0),46 (19.4),57 (39.3),,,
death_discharge = 1 (%),99 (25.8),2 (0.8),97 (66.4),<0.001,,0.8
baseline_creatinine (median [IQR]),"1.08 [0.84, 1.31]","1.12 [0.90, 1.39]","0.98 [0.77, 1.20]",0.001,nonnorm,24
