,Overall,0,1,p,test,Missing
n,74,33,41,,,
age_admission (median [IQR]),"61.50 [56.00, 68.75]","64.00 [54.00, 69.00]","61.00 [56.00, 67.00]",0.703,nonnorm,0
sex = 2 (%),30 (40.5),13 (39.4),17 (41.5),1,,0
White = 1 (%),40 (54.1),17 (51.5),23 (56.1),0.874,,0
reason_for_admission (%),,,,0.057,exact,0
1,28 (37.8),8 (24.2),20 (48.8),,,
2,7 (9.5),5 (15.2),2 (4.9),,,
3,39 (52.7),20 (60.6),19 (46.3),,,
loop_diuretic = 1 (%),40 (54.1),23 (69.7),17 (41.5),0.029,,0
aldosterone_antagonist = 1 (%),23 (31.1),16 (48.5),7 (17.1),0.008,,0
lactulose = 1 (%),30 (40.5),15 (45.5),15 (36.6),0.593,,0
rifaximin = 1 (%),17 (23.0),9 (27.3),8 (19.5),0.609,,0
prophylactic_antibiotic = 1 (%),8 (10.8),7 (21.2),1 (2.4),0.019,exact,0
nsaids = 1 (%),10 (13.5),5 (15.2),5 (12.2),0.978,,0
beta_blockers = 1 (%),31 (41.9),19 (57.6),12 (29.3),0.027,,0
albumin_given_admission = 1 (%),43 (58.1),16 (48.5),27 (65.9),0.205,,0
albumin_amount_admission (median [IQR]),"100.00 [75.00, 181.25]","100.00 [75.00, 187.50]","100.00 [75.00, 175.00]",0.764,nonnorm,47.3
albumin_given_prior = 1 (%),6 (13.6),4 (22.2),2 (7.7),0.208,exact,40.5
diabetes = 1 (%),26 (35.1),11 (33.3),15 (36.6),0.963,,0
cad = 1 (%),15 (20.3),8 (24.2),7 (17.1),0.637,,0
ckd = 1 (%),19 (25.7),11 (33.3),8 (19.5),0.278,,0
htn = 1 (%),34 (45.9),14 (42.4),20 (48.8),0.756,,0
etiology_cirrhosis (%),,,,0.834,exact,0
   Alcohol,32 (43.2),13 (39.4),19 (46.3),,,
   HCV,7 (9.5),3 (9.1),4 (9.8),,,
   Multifactorial,6 (8.1),2 (6.1),4 (9.8),,,
   NASH,12 (16.2),7 (21.2),5 (12.2),,,
   Other,17 (23.0),8 (24.2),9 (22.0),,,
ascites_admission = 1 (%),59 (80.8),24 (75.0),35 (85.4),0.414,,1.4
encephalopathy_admission = 1 (%),46 (62.2),18 (54.5),28 (68.3),0.332,,0
gi_bleed_admission = 1 (%),25 (33.8),13 (39.4),12 (29.3),0.504,,0
peritonitis_admission = 1 (%),9 (12.2),3 (9.1),6 (14.6),0.723,exact,0
hcc_admission = 1 (%),6 (8.1),2 (6.1),4 (9.8),0.686,exact,0
tips_admission = 1 (%),2 (2.7),0 (0.0),2 (4.9),0.499,exact,0
lvp_admission = 1 (%),25 (33.8),10 (30.3),15 (36.6),0.748,,0
alcoholic_hepatitis_admission = 1 (%),17 (23.0),8 (24.2),9 (22.0),1,,0
na_admit (median [IQR]),"134.00 [129.25, 138.00]","136.00 [131.00, 139.00]","134.00 [129.00, 138.00]",0.288,nonnorm,0
k_admit (median [IQR]),"4.20 [3.80, 4.90]","4.30 [3.90, 4.90]","4.20 [3.80, 4.70]",0.564,nonnorm,0
cl_admit (median [IQR]),"99.50 [92.25, 104.75]","100.00 [93.00, 105.00]","99.00 [92.00, 104.00]",0.862,nonnorm,0
co2_admit (median [IQR]),"20.00 [17.00, 23.00]","21.00 [19.00, 24.00]","18.00 [15.00, 22.00]",0.007,nonnorm,0
bun_admit (median [IQR]),"37.00 [26.00, 55.00]","35.00 [24.00, 58.00]","39.00 [27.00, 55.00]",0.579,nonnorm,0
creatinine_admission (median [IQR]),"2.00 [1.42, 3.03]","1.96 [1.28, 2.87]","2.03 [1.55, 3.04]",0.518,nonnorm,0
urine_creatinine (median [IQR]),"110.45 [79.43, 173.00]","118.66 [85.65, 170.50]","92.40 [78.00, 170.75]",0.37,nonnorm,27
ca_admit (median [IQR]),"8.40 [8.10, 9.00]","8.40 [8.10, 9.00]","8.60 [8.10, 8.90]",0.828,nonnorm,1.4
mg_admit (median [IQR]),"2.00 [1.70, 2.30]","1.90 [1.60, 2.30]","2.10 [1.80, 2.30]",0.361,nonnorm,6.8
phos_admit (median [IQR]),"3.95 [2.77, 4.70]","4.00 [2.90, 4.60]","3.80 [2.75, 4.75]",0.887,nonnorm,18.9
peak_creatinine (median [IQR]),"3.04 [2.22, 4.42]","2.87 [1.89, 3.66]","3.20 [2.40, 4.57]",0.095,nonnorm,0
alt_admit (median [IQR]),"35.00 [22.00, 90.00]","29.00 [18.50, 39.75]","56.00 [26.00, 95.00]",0.011,nonnorm,1.4
alkphos_admit (median [IQR]),"132.00 [88.00, 187.00]","116.00 [72.50, 180.25]","138.00 [102.00, 203.00]",0.15,nonnorm,1.4
tb_admit (median [IQR]),"2.70 [1.60, 8.10]","2.00 [1.25, 4.80]","4.55 [1.70, 10.25]",0.061,nonnorm,6.8
alb_admit (median [IQR]),"2.70 [2.40, 3.20]","2.90 [2.58, 3.52]","2.70 [2.40, 3.10]",0.056,nonnorm,1.4
nh3_admit (median [IQR]),"48.00 [38.00, 72.00]","44.00 [36.50, 60.50]","51.50 [38.25, 72.75]",0.583,nonnorm,50
inr_admit (median [IQR]),"1.70 [1.40, 2.20]","1.60 [1.40, 2.00]","1.85 [1.50, 2.40]",0.043,nonnorm,1.4
wbc_admit (median [IQR]),"11.89 [7.23, 16.20]","11.10 [7.75, 15.30]","12.25 [5.27, 16.70]",0.922,nonnorm,0
hct_admit (median [IQR]),"29.70 [25.83, 33.42]","31.10 [27.40, 34.80]","28.90 [24.70, 32.30]",0.154,nonnorm,0
plt_admit (median [IQR]),"128.00 [83.25, 179.00]","133.00 [104.00, 205.00]","126.00 [75.00, 148.00]",0.147,nonnorm,0
urine_sodium (median [IQR]),"20.00 [20.00, 44.50]","20.00 [16.00, 35.00]","28.00 [20.00, 64.50]",0.105,nonnorm,37.8
fena (median [IQR]),"0.38 [0.18, 0.72]","0.33 [0.12, 0.46]","0.52 [0.23, 1.79]",0.016,nonnorm,43.2
he_grade_admission (%),,,,0.197,exact,9.5
1,43 (64.2),22 (66.7),21 (61.8),,,
2,7 (10.4),4 (12.1),3 (8.8),,,
3,5 (7.5),0 (0.0),5 (14.7),,,
4,8 (11.9),4 (12.1),4 (11.8),,,
5,4 (6.0),3 (9.1),1 (2.9),,,
sbp_admission (median [IQR]),"96.50 [86.00, 106.75]","99.00 [91.00, 106.00]","93.00 [85.00, 107.00]",0.151,nonnorm,0
dbp_admission (median [IQR]),"51.00 [45.25, 58.00]","53.00 [49.00, 61.00]","50.00 [39.00, 57.00]",0.053,nonnorm,0
rrt = 1 (%),24 (32.4),7 (21.2),17 (41.5),0.11,,0
rrt_hemodialysis = 1 (%),11 (28.2),6 (46.2),5 (19.2),0.166,,47.3
initial_rrt = 2 (%),17 (70.8),2 (28.6),15 (88.2),0.009,exact,67.6
