,Overall,0,1,p,test,Missing
n,1676,1071,605,,,
age_admission (median [IQR]),"62.00 [54.00, 69.00]","62.00 [54.00, 70.00]","62.00 [54.00, 69.00]",0.861,nonnorm,0
sex = 2 (%),639 (38.1),402 (37.6),237 (39.2),0.551,,0.1
hispanic_race = 1 (%),94 (5.6),74 (6.9),20 (3.3),0.003,,0
reason_for_admission (%),,,,0.348,,0.1
1,783 (46.7),487 (45.5),296 (49.0),,,
2,167 (10.0),107 (10.0),60 (9.9),,,
3,725 (43.3),477 (44.5),248 (41.1),,,
loop_diuretic = 1 (%),1070 (63.9),692 (64.7),378 (62.5),0.385,,0.1
aldosterone_antagonist = 1 (%),781 (46.7),506 (47.3),275 (45.6),0.541,,0.2
lactulose = 1 (%),753 (45.0),447 (41.8),306 (50.6),0.001,,0.1
rifaximin = 1 (%),507 (30.3),319 (29.8),188 (31.1),0.628,,0.1
prophylactic_antibiotic = 1 (%),190 (11.3),129 (12.0),61 (10.1),0.256,,0
nsaids = 1 (%),165 (9.9),108 (10.1),57 (9.4),0.716,,0.1
beta_blockers = 1 (%),681 (40.6),481 (44.9),200 (33.1),<0.001,,0
albumin_given_admission = 1 (%),1112 (66.5),636 (59.5),476 (78.9),<0.001,,0.2
albumin_amount_admission (median [IQR]),"122.25 [62.50, 175.00]","109.25 [64.38, 175.00]","125.00 [62.50, 175.00]",0.264,nonnorm,43.8
albumin_given_prior = 1 (%),86 (14.7),42 (13.6),44 (15.8),0.54,,65
diabetes = 1 (%),683 (40.8),464 (43.4),219 (36.2),0.005,,0.1
cad = 1 (%),340 (20.3),225 (21.0),115 (19.0),0.356,,0.1
ckd = 1 (%),515 (30.8),348 (32.6),167 (27.6),0.037,,0.3
htn = 1 (%),970 (57.9),649 (60.7),321 (53.1),0.003,,0.1
etiology_cirrhosis (%),,,,0.276,,0
   Alcohol,658 (39.3),417 (38.9),241 (39.8),,,
   HCV,161 (9.6),99 (9.2),62 (10.2),,,
   Multifactorial,148 (8.8),94 (8.8),54 (8.9),,,
   NASH,406 (24.2),277 (25.9),129 (21.3),,,
   Other,303 (18.1),184 (17.2),119 (19.7),,,
ascites_admission = 1 (%),1302 (77.7),784 (73.2),518 (85.6),<0.001,,0
encephalopathy_admission = 1 (%),966 (57.7),552 (51.6),414 (68.4),<0.001,,0.1
gi_bleed_admission = 1 (%),562 (33.6),348 (32.6),214 (35.4),0.263,,0.1
peritonitis_admission = 1 (%),233 (13.9),132 (12.4),101 (16.7),0.017,,0.2
hcc_admission = 1 (%),180 (10.7),90 (8.4),90 (14.9),<0.001,,0.1
tips_admission = 1 (%),145 (8.7),101 (9.4),44 (7.3),0.156,,0.2
lvp_admission = 1 (%),544 (32.5),329 (30.8),215 (35.5),0.055,,0.2
alcoholic_hepatitis_admission = 1 (%),241 (14.4),145 (13.6),96 (15.9),0.221,,0.1
na_admit (median [IQR]),"134.00 [130.00, 138.00]","135.00 [130.00, 138.00]","133.00 [129.00, 138.00]",0.001,nonnorm,0
k_admit (median [IQR]),"4.40 [3.80, 5.00]","4.40 [3.90, 5.00]","4.30 [3.80, 5.00]",0.248,nonnorm,0.4
cl_admit (median [IQR]),"100.00 [94.00, 105.00]","100.00 [95.00, 105.00]","99.00 [93.00, 104.00]",0.072,nonnorm,0
co2_admit (median [IQR]),"21.00 [18.00, 24.00]","21.00 [18.00, 24.00]","21.00 [17.00, 24.00]",<0.001,nonnorm,0.1
bun_admit (median [IQR]),"39.00 [25.00, 56.00]","38.00 [24.00, 55.00]","41.00 [27.00, 59.00]",0.013,nonnorm,0
creatinine_admission (median [IQR]),"1.94 [1.50, 2.79]","1.91 [1.51, 2.69]","2.00 [1.40, 3.04]",0.222,nonnorm,0
urine_creatinine (median [IQR]),"107.00 [67.00, 154.80]","104.17 [64.00, 151.50]","111.10 [75.00, 157.40]",0.065,nonnorm,37.5
ca_admit (median [IQR]),"8.70 [8.20, 9.10]","8.80 [8.20, 9.20]","8.60 [8.10, 9.03]",<0.001,nonnorm,0.3
mg_admit (median [IQR]),"2.00 [1.70, 2.30]","2.00 [1.70, 2.20]","2.00 [1.70, 2.30]",0.358,nonnorm,25.1
phos_admit (median [IQR]),"3.90 [3.20, 4.80]","3.80 [3.10, 4.60]","4.00 [3.20, 5.20]",0.019,nonnorm,33.1
peak_creatinine (median [IQR]),"2.52 [1.92, 3.57]","2.31 [1.81, 3.28]","2.95 [2.19, 4.25]",<0.001,nonnorm,0.5
alt_admit (median [IQR]),"31.00 [19.50, 53.00]","29.00 [19.00, 46.00]","36.00 [21.00, 63.00]",<0.001,nonnorm,1.3
alkphos_admit (median [IQR]),"133.00 [94.00, 194.00]","131.00 [92.00, 188.00]","140.00 [98.00, 216.00]",0.004,nonnorm,1.3
tb_admit (median [IQR]),"2.50 [1.10, 6.70]","2.00 [0.90, 4.60]","4.10 [1.80, 10.80]",<0.001,nonnorm,1.7
alb_admit (median [IQR]),"2.90 [2.50, 3.40]","3.00 [2.60, 3.50]","2.70 [2.30, 3.20]",<0.001,nonnorm,1.4
nh3_admit (median [IQR]),"59.00 [37.00, 93.75]","56.00 [36.25, 93.00]","62.00 [37.00, 94.00]",0.47,nonnorm,50.7
inr_admit (median [IQR]),"1.60 [1.30, 2.10]","1.50 [1.28, 2.00]","1.80 [1.50, 2.40]",<0.001,nonnorm,2
wbc_admit (median [IQR]),"8.78 [6.09, 13.02]","8.21 [5.84, 12.19]","9.90 [6.80, 14.50]",<0.001,nonnorm,0
